index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"血红蛋白氨基酸序列越相似，通常表示两种生物的亲缘关系越近、共同祖先越近。题干说明人与黑猩猩的血红蛋白比人与狗的更相似，因此说明人和灵长类的亲缘关系比和狗更近。四个选项中最符合这一含义的是 B。

Answer: B",178,778,0.000000
1,college_biology,biology,A,C,False,"胚胎学家研究从受精卵到胎儿阶段的脊椎动物发育，会发现不同脊椎动物的早期胚胎具有相似性，说明它们在早期发育阶段共享一些共同特征，但并不是“重演”成体的演化历史。

因此，正确结论是：早期人类胚胎与早期鱼类和鸟类胚胎有共同特征。

Answer: C",169,233,0.000000
2,high_school_biology,biology,D,D,True,"防止种间繁殖的情况包括地理隔离、行为隔离以及求偶仪式不同，这些都会减少不同物种之间的交配机会。  
而“潜在配偶繁殖季节相似”并不会阻止繁殖，反而更有可能促进交配，因此它不是防止种间繁殖的例子。

Answer: D",116,180,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡是**程序性**细胞死亡，具有明确的调控机制，并不是随机发生的。

逐项判断：
- **A) 随机发生。** —— 不正确。细胞凋亡不是随机的，而是受基因调控的程序性过程。
- **B)** 当生物体不再需要某些细胞时，这些细胞会死亡。—— 正确。
- **C)** 当细胞积累了太多突变时，可能会启动凋亡。—— 正确。
- **D)** 植物细胞在受寄生虫感染时，可通过类似超敏反应的程序性死亡来防御。—— 正确。

因此，不正确的是 **A**。

Answer: A",151,211,0.000000
4,high_school_biology,biology,B,B,True,"这道题考察的是**一个基因/等位基因可以同时影响多个性状**，其中一个性状有利，另一个性状有轻微不利时，自然选择会保留这个基因，因为总体上它带来的好处更大。结果就是：**适应性状增加了，但伴随的不良性状也一起增加**。

这正说明了生物表型往往不是“完美优化”的，而是不同选择压力之间的**折中**。

- 不是 A：进化并不总是朝“更完美”前进。
- 不是 C：因为这个基因并没有被排除，反而因有利斑纹而被保留。
- 不是 D：题目并没有在说多基因遗传一般适应不良。

因此正确答案是 **B**。

Answer: B",216,274,0.000000
5,high_school_biology,biology,C,C,True,"尿黑酸尿症通常属于常染色体隐性遗传。若第 II 代的父母 1 和 2 已经生出患病子代，则这对父母很可能都是携带者，因此他们再生一个孩子患病的概率是 25%。

Answer: C",132,1467,0.000000
6,high_school_biology,biology,C,C,True,"先把 DNA 序列 5′-C-A-T-3′ 按碱基互补配对转成 mRNA：

- C 配 G
- A 配 U
- T 配 A

所以 mRNA 密码子是 5′-G-U-A-3′。

tRNA 反密码子再与该 mRNA 互补配对：

- G 配 C
- U 配 A
- A 配 U

因此 tRNA 反密码子序列是 5′-C-A-U-3′。

Answer: C",172,2502,0.000000
7,college_biology,biology,C,C,True,"蓝藻（蓝细菌）和单细胞绿藻的主要区别在于：蓝藻属于原核生物，没有真正的细胞核；而单细胞绿藻属于真核生物，有细胞核。

其他选项分析：
- A：并非蓝藻与绿藻的普遍区别。
- B：蓝藻有细胞壁。
- D：绿藻当然也有细胞膜，这不是区别。

Answer: C",109,169,0.000000
8,high_school_biology,biology,D,D,True,"肥皂在这里起到的是**表面活性剂**的作用：它能降低水的表面张力，并帮助水进入叶片表面的微小空隙，使叶片盘更容易下沉。具体来说，肥皂分子的**疏水部分**会附着在叶片表面的蜡质层上，**亲水部分**则与水分子相互作用。

因此正确答案是 D。

Answer: D",217,175,0.000000
9,college_biology,biology,A,A,True,"结缔组织的基本组成包括细胞（如成纤维细胞）和细胞外基质（如胶原蛋白、糖胺聚糖等）。  
凝血酶是参与血液凝固的酶，一般不作为结缔组织中的常见成分。

因此，正确答案是 A。

Answer: A",100,211,0.000000
10,college_biology,biology,A,A,True,"环节动物和节肢动物的共同点中，最明显的是**身体都具有分节**。

- A) 具有分节的身体：正确，环节动物和节肢动物都表现出分节特征。
- B) 具有封闭的循环系统：不对，节肢动物通常是开放式循环系统。
- C) 通过湿润的膜扩散进行气体交换：不对，这主要适用于部分环节动物。
- D) 具有发达的感觉器官：不对，这更典型于节肢动物，环节动物不一定明显。

Answer: A",115,275,0.000000
11,high_school_biology,biology,D,D,True,"突变本身的发生率可以很稳定，但“看起来”频率较低，往往是因为很多突变不会被直接观察到，或者会被自然选择迅速清除：

- A：隐性等位基因可能不表现出来，所以不易被发现。
- B：有害表型可能导致个体无法繁殖，因而难以在群体中保留。
- C：严重有害的突变可能迅速从基因库中被移除。

D 说的是“基因库持续变异”，这不是“突变频率似乎较低”的原因，反而是在描述突变带来的结果，因此最不可能。

Answer: D",163,265,0.000000
12,college_biology,biology,A,A,True,"真菌的细胞壁主要由**几丁质**加固，这是其与植物细胞壁（主要含纤维素）不同的重要特征。

- **几丁质**：真菌细胞壁的主要结构成分  
- **硅**：常见于某些藻类或植物的特殊结构，不是真菌细胞壁主要成分  
- **木质素**：主要存在于植物的木质部  
- **胶原纤维**：主要见于动物组织

Answer: A",95,158,0.000000
13,high_school_biology,biology,B,B,True,"非洲肺鱼生活在不流动的小淡水池中，水量有限。  
氨是非常有毒的含氮废物，如果直接排出，需要大量水来稀释；而尿素毒性较低，因此更适合在这种环境中排出。这样肺鱼能减少对水的依赖，适应小水池生活。

A 错在“尿素不溶于水”；尿素是可溶的。  
C、D 都不符合生物学事实。

Answer: B",211,204,0.000000
14,high_school_biology,biology,A,A,True,"同源蛋白的氨基酸序列会丢失许多不改变氨基酸的核苷酸差异信息，而这些差异中最典型的就是**沉默突变**。因此，用核苷酸序列通常能更准确反映物种间的进化关系。

Answer: A",131,147,0.000000
15,college_biology,biology,B,B,True,"在两栖动物中，**灰色新月体**含有形成背腹轴所需的重要决定因素。若第一次卵裂时灰色新月体只分到两个卵裂球中的一个，并将两个卵裂球分开，那么：

1. **带有灰色新月体的卵裂球**保留了形成完整胚胎所需的关键信息；
2. 由于每个早期卵裂球仍具有较强的**调节发育（regulative development）**能力，它可以发育成**一个完整但更小的胚胎**；
3. **不带灰色新月体的卵裂球**则通常无法正常建立完整胚轴，不会形成完整胚胎。

因此，预期结局是：**带有灰色新月体的卵裂球会形成一个完整但较小的胚胎。**

Answer: B",236,556,0.000000
16,high_school_biology,biology,B,B,True,"逐项判断：

- A) 甲状腺素可增加代谢率：正确  
- B) 胰岛素可减少糖原储存：不正确，胰岛素实际上促进糖原合成与储存  
- C) 加压素可刺激肾脏对水的重吸收：正确  
- D) 肾上腺素可增加血糖水平和心率：正确  

Answer: B",118,185,0.000000
17,high_school_biology,biology,C,C,True,"这组后代数目最接近 **1:2:1**（黑色:灰色:白色 ≈ 7:17:8），这最符合**单基因控制且杂合子表现为中间型**的情况，即**不完全显性**。  
如果是共显性，杂合子通常会同时显现黑白两种表型，而不是形成灰色这种中间表型。

Answer: C",164,2173,0.000000
18,high_school_biology,biology,A,A,True,"逐项判断：

- **A**：人体大多数体细胞含有相同的基因组；肝细胞和白细胞通常都来源于同一受精卵，因此它们的 **DNA 基本相同**。  
- **B**：不准确。并不是“**大部分 DNA** 都会被转录”。很多 DNA 根本不转录，且即使转录也不一定编码蛋白。  
- **C**：错误。**DNA 不会被翻译**，被翻译的是 mRNA。  
- **D**：错误。糖原储存相关功能主要来自**基因表达差异**，不是因为肝细胞拥有别的细胞没有的基因。

因此正确答案是 **A**。

Answer: A",175,615,0.000000
19,college_biology,biology,D,D,True,"人体内维持足够血清钙水平的主要调节激素是**甲状旁腺激素**。它能促进骨钙释放、增加肾脏对钙的重吸收，并促进维生素D活化，从而提高血钙水平。

Answer: D",108,110,0.000000
20,college_biology,biology,A,A,True,"沿着格架生长的植物是因为受到了支架的接触刺激，表现为**向触性**，即对接触作出定向生长反应。

Answer: A",92,118,0.000000
21,college_biology,biology,C,C,True,"贝氏拟态（Batesian mimicry）是“无害种”模仿“有害或具防御能力的种”以躲避捕食者。  
在选项中，**飞蛾呈现出与蛰蜂几乎相同的颜色**，这是典型的贝氏拟态。

Answer: C",197,171,0.000000
22,high_school_biology,biology,A,A,True,"微管主要参与形成纺锤体，帮助染色体在有丝分裂中排列并分离。  
秋水仙碱阻止微管组装，因此对依赖纺锤体的过程影响最大。

B 是核糖体翻译，主要依赖 rRNA 和蛋白质；  
C 主要与膜转运蛋白有关；  
D 属于质子梯度建立，主要依赖膜上的电子传递过程，不是微管功能。

Answer: A",181,182,0.000000
23,college_biology,biology,C,C,True,"陆地生态系统的净初级生产力（NPP）通常在热带地区更高，主要原因是热带地区**全年温暖、光照充足，并且很多地区水分供应较丰富**，这些条件都能显著促进植物的光合作用和生长，从而提高NPP。

- A 物种多样性高不一定直接决定NPP。
- B 代谢成本较低不是解释NPP向热带增加的主要原因。
- D 捕食者数量影响食草压力，但不是陆地NPP纬度梯度的核心原因。

Answer: C",162,180,0.000000
24,high_school_biology,biology,D,D,True,"金枪鱼、鲨鱼和海豚虽然分类上差异很大，但都生活在水中。水中阻力较大，流线型身体能减少阻力、提高游泳效率，因此在这种环境中更容易被自然选择保留下来。这属于**趋同进化**，不是因为它们有最近共同祖先。

最合适的原因是：**流线型身体在其环境中有选择性优势**。

Answer: D",142,211,0.000000
25,high_school_biology,biology,D,D,True,"种群中“固定”基因座比例越高，说明该种群的遗传变异越少，因此核苷酸变异和平均杂合性都会降低。  
所以正确答案是 **D（仅 A 和 C）**。

Answer: D",105,313,0.000000
26,college_biology,biology,D,D,True,"先看两个性状分别遗传：

- 株高：亲本1是 **DD**，亲本2是 **dd**，所以后代在株高位点一定都是 **Dd**，全部表现为**高大**。
- 花色：亲本1是 **Ww**，亲本2是 **ww**，所以后代花色位点有一半 **Ww**（紫花），一半 **ww**（白花）。

因此后代表现型比例为：

- **1 高大紫花**
- **1 高大白花**

所以答案是 **D**。

Answer: D",219,307,0.000000
27,high_school_biology,biology,B,B,True,"黑色皮毛是显性，白色皮毛是隐性。  
如果两只表型都为黑色的豚鼠交配后，后代出现 **3:1** 的黑白比例，这通常说明父母双方都携带隐性等位基因，也就是都是 **杂合子**。

因此，父母的基因型最有可能是：

- **Bb × Bb**

这样交配产生的后代基因型比例为：
- 1/4 BB（黑）
- 1/2 Bb（黑）
- 1/4 bb（白）

表型上正好是 **3/4 黑色，1/4 白色**。

Answer: B",150,195,0.000000
28,college_biology,biology,C,C,True,"流感病毒属于 RNA 病毒，进入宿主细胞后会利用宿主的细胞机器进行复制，并合成病毒蛋白质。  
它不会把 DNA 整合进宿主染色体，也不使用逆转录酶。

Answer: C",132,158,0.000000
29,high_school_biology,biology,B,B,True,"化石证据显示马的体积随着地质时间推移逐渐增大，这说明自然选择持续偏向“更大体积”这一方向，使性状分布向一个极端移动。这个过程最符合**方向选择**。

Answer: B",108,124,0.000000
30,high_school_biology,biology,B,B,True,"加拉帕戈斯群岛上的雀类因长期地理隔离，在不同环境中逐渐形成了不同的特征和喙型，这属于从共同祖先出发向不同方向演化的过程，即**趋异进化**。

Answer: B",149,123,0.000000
31,high_school_biology,biology,D,A,False,"90% 的幼体能活到繁殖期，说明限制死亡率的因素可能减弱了。最直接、最常见的解释是可获得食物增加；而 C 并不能由题目推出。D 因为包含 C，所以不对。

Answer: A",229,3125,0.000000
32,high_school_biology,biology,A,A,True,"光合作用中释放的氧气并不是来自二氧化碳，而是来自**水分子（H2O）**在光反应中被分解，产生电子、质子和氧气。

因此，正确答案是：

Answer: A",86,116,0.000000
33,college_biology,biology,A,A,True,"当乙醛浓度继续增加但反应速率不再上升时，说明乙醇脱氢酶已经达到**饱和**状态，几乎所有酶分子的活性位点都被底物占据，酶处于最大反应速率（Vmax）。

逐项判断：
- **A)** 正确：几乎所有酶分子都在与乙醛分子相互作用。
- **B)** 不对：酶降低活化能是酶的作用，不是“达到最大速率”时才发生的变化。
- **C)** 不对：酶不改变反应的自由能变化（ΔG）。
- **D)** 不对：酶的特异性并不会因为达到Vmax而消失。

Answer: A",187,260,0.000000
34,high_school_biology,biology,B,B,True,"DNA 中遵循查哥夫定律：双链 DNA 里 **A = T，C = G**。  
因此，**嘌呤（A+G）总量 = 嘧啶（T+C）总量**，所以二者的比值在不同物种中保持恒定。

A、C、D 都不一定恒定；只有 **嘧啶:嘌呤** 恒定。

Answer: B",136,191,0.000000
35,college_biology,biology,C,C,True,"在细胞分裂过程中，有丝分裂纺锤体会附着在染色体的**着丝点**上，以便将姐妹染色单体分离到两极。

- **色素体**：与色素有关，不是染色体结构
- **染色粒**：不是纺锤体附着点
- **着丝点**：染色体上纺锤丝附着的位置
- **中心粒**：参与纺锤体形成，但不是染色体上的附着点

Answer: C",103,196,0.000000
36,high_school_biology,biology,D,D,True,"要区分原核细胞和动物细胞，关键看它们是否具有**细胞壁**：

- **核糖体**：两者都有  
- **细胞膜**：两者都有  
- **叶绿体**：两者都没有  
- **细胞壁**：原核细胞有，动物细胞没有  

因此，能区分二者的是 **D) 细胞壁**。

Answer: D",94,206,0.000000
37,high_school_biology,biology,B,B,True,"种间相互作用指不同物种之间的关系，包括偏利共生、互利共生和寄生等。  
“演替”是群落随时间变化与发展的过程，不属于种间相互作用。

Answer: B",90,94,0.000000
38,college_biology,biology,B,B,True,"固定动作模式（fixed action pattern）通常是一种先天的、刻板的运动行为，一旦被适当刺激触发，往往会按相对固定的程序完成，而不依赖后续的感觉反馈。

因此，最符合的是 **B) 发生在没有感觉反馈的情况下**。

Answer: B",130,236,0.000000
39,college_biology,biology,D,D,True,"如果一种酶的活性在很广的 pH 范围内都保持恒定，说明其催化作用不太依赖于某些必须保持特定电离状态的基团。因为如果酶或底物上有关键电离基团参与反应，pH 改变通常会显著影响活性。

因此，最可能的是：酶或底物上没有电离基团参与反应。

Answer: D",139,183,0.000000
40,high_school_biology,biology,D,D,True,"水会从**水势较高**的地方流向**水势较低**的地方。  
在纯水中，纯水的水势通常定义为 **0**；要让水进入马铃薯，马铃薯的水势必须比纯水更低，也就是**为负**。

因此，马铃薯进水的初始条件是：

**D) 马铃薯的水势为负。**

Answer: D",130,239,0.000000
41,college_biology,biology,D,D,True,"这种杂交种最初不育，是因为来自两个亲本物种的染色体彼此不完全同源，减数分裂时无法正常配对。  
如果其染色体数目自发加倍，就会形成每条染色体都有对应同源体的情况，减数分裂可以正常进行，因此后代通常能够恢复生育能力并进行有性繁殖。

Answer: D",204,208,0.000000
