Unnamed: 0,Question,A,B,C,D,Answer,Subject,Subcategory
157,人血红蛋白分子的氨基酸序列与黑猩猩血红蛋白的相似性比与狗血红蛋白的相似性更高。这种相似性表明，,人与狗的亲缘关系比人与黑猩猩的亲缘关系更近,人与大猩猩的亲缘关系比人与狗的亲缘关系更近,人与黑猩猩有亲缘关系，但与犬无亲缘关系,人和黑猩猩非常相似,B,high_school_biology,biology
39,研究从受精卵阶段到胎儿阶段的脊椎动物发育的胚胎学家有理由得出以下哪项结论？,个体发育重演系统发育。,早期胚胎展示了其纲、目和种的相同特征。,早期人类胚胎与早期鱼类和鸟类胚胎有共同特征。,人类胚胎在发育过程中显示出成年鱼类和鸟类的特征。,A,college_biology,biology
194,以下哪项不是防止种间繁殖的示例,潜在配偶出现地理隔离,潜在配偶出现行为隔离,潜在配偶求爱仪式不同,潜在配偶繁殖季节相似,D,high_school_biology,biology
266,细胞凋亡是程序性细胞死亡，是生物体的一个必要过程。关于细胞凋亡，以下哪项不正确？,随机发生。,在生物体不再需要时，特定细胞死亡。,积累了太多突变时，细胞会凋亡。,植物细胞被寄生虫感染时，凋亡会作为防御措施。,A,high_school_biology,biology
11,导致野生猫和驯化猫不同斑纹的基因也会导致这些猫出现交叉眼（斜视），交叉眼略微适应不良。假设与交叉眼相关的斑纹模式具有高度适应性，结果是猫种群的斑纹模式和交叉眼均随时间增加。这些观察结果可支持以下哪种说法？,进化是渐进的，倾向于进化为更完美的种群。,表型通常是折中的结果。,自然选择会随时间减少种群中适应不良基因的频率。,多基因遗传一般适应不良，后代中应该不太常见。,B,high_school_biology,biology
111,家系信息支持以下哪种说法？,P 代母体为 X-X。,P 代父亲为 X-Y。,如果第 II 代的父母 1 和 2 生了另一个孩子，孩子患尿黑酸尿症的几率为 25%。,女性 1 的基因型为 X-X。,C,high_school_biology,biology
100,一个 DNA 分子的核苷酸序列为 5′-C-a-T-3′。在蛋白质合成过程中，具有互补密码子的 mRNA 分子从 DNA 转录，一个 tRNA 与 mRNA 密码子配对。此 tRNA 反密码子的核苷酸序列是什么？,5′-G-T-A-3′,5′-G-U-A-3′,5′-C-A-U-3′,5-′U-A-C-3′,C,high_school_biology,biology
101,蓝藻与单细胞绿藻有何不同？,蓝藻还原硫化合物。,蓝藻没有细胞壁。,蓝藻没有细胞核。,绿藻产生细胞膜。,C,college_biology,biology
256,在实验室实践练习中，一名学生切下植物叶片盘状部分，并将其放入装有水的烧杯中。在水中加入一滴肥皂以帮助浸没叶片。肥皂帮助浸没叶片盘状部分的方式是什么？,肥皂分子经叶片气孔进入，并与氧分子结合。,肥皂分子与叶片表面气泡结合，并将其去除。,肥皂分子降低了水的 pH 值，以便过量 H + 与叶面结合。,肥皂分子疏水区域附着于蜡质叶面，而亲水区域与水分子形成氢键。,D,high_school_biology,biology
30,以下所有物质都可能存在于结缔组织中，除了,凝血酶,糖胺聚糖,胶原蛋白,成纤维细胞,A,college_biology,biology
