index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"血红蛋白氨基酸序列越相似，说明亲缘关系越近。题干中人和黑猩猩的血红蛋白比人和狗更相似，因此可推知人和黑猩猩的亲缘关系比人和狗更近。选项中最符合这一结论的是 B。

Answer: B",202,831,0.000000
1,college_biology,biology,A,C,False,"胚胎学家研究脊椎动物从受精卵到胎儿阶段的发育，最合理的结论是：不同脊椎动物的**早期胚胎具有共同特征**，例如早期人类胚胎会与早期鱼类和鸟类胚胎表现出相似之处。

Answer: C",193,225,0.000000
2,high_school_biology,biology,D,D,True,"A、B、C 都属于会阻止不同物种成功繁殖的隔离机制；D 中“繁殖季节相似”反而会增加交配机会，不属于防止种间繁殖的例子。

Answer: D",140,225,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡不是随机发生的，而是受严格调控的程序性死亡过程。其余选项都符合凋亡的常见作用或相关现象。

Answer: A",175,263,0.000000
4,high_school_biology,biology,B,B,True,"这说明一个基因同时影响了两个性状：一个有利（斑纹模式更适应），一个略有不利（斜视）。自然选择保留的是整体更有利的组合，因此这种情况最能支持“表型通常是折中的结果”。

Answer: B",240,386,0.000000
5,high_school_biology,biology,C,C,True,"尿黑酸尿症属于**常染色体隐性遗传**。  
如果第 II 代的父母 1 和 2 已经能生出患病孩子，那么他们通常都可判断为**携带者**，即杂合子；再生一个孩子时，患病概率为 **25%**。

Answer: C",156,3523,0.000000
6,high_school_biology,biology,C,C,True,"DNA 序列 5′-CAT-3′ 转录形成的 mRNA 密码子与之互补（对应为 5′-AUG-3′），因此 tRNA 的反密码子为 5′-CAU-3′。

Answer: C",196,2135,0.000000
7,college_biology,biology,C,C,True,"蓝藻属于原核生物，没有细胞核；单细胞绿藻属于真核生物，有细胞核。  
Answer: C",133,216,0.000000
8,high_school_biology,biology,D,D,True,"肥皂作为表面活性剂，会降低水的表面张力，并且其疏水端可与叶片表面的蜡质层相互作用，而亲水端与水分子作用，从而帮助液体浸润叶片并使其下沉。

Answer: D",241,277,0.000000
9,college_biology,biology,A,A,True,"结缔组织的组成包括细胞（如成纤维细胞）、纤维（如胶原蛋白）和基质成分（如糖胺聚糖）。  
凝血酶属于凝血系统中的酶，一般不作为结缔组织的常见组成成分。

Answer: A",124,222,0.000000
10,college_biology,biology,A,A,True,"环节动物和节肢动物都具有**分节的身体**，这是它们最主要的共同特征。  

Answer: A",139,160,0.000000
11,high_school_biology,biology,D,D,True,"A、B、C 都可能让突变“看起来”较少：有的隐性不表达，有的有害个体难以繁殖，有的会被自然选择清除。D 说的是基因库持续变异，这不是“突变频率似乎较低”的原因，反而是在说明变异一直存在。  
Answer: D",187,305,0.000000
12,college_biology,biology,A,A,True,"真菌的细胞壁主要由**几丁质**加固。

Answer: A",119,102,0.000000
13,high_school_biology,biology,B,B,True,"非洲肺鱼生活在水量少、相对静止的小水池中，如果排出的是氨，氨会迅速在有限水体中积累并造成毒害；而改排尿素可以降低毒性，帮助它在这种环境中生存。

Answer: B",235,265,0.000000
14,high_school_biology,biology,A,A,True,"氨基酸序列会忽略许多**同义/沉默突变**，而核苷酸序列可以保留这些信息，因此用蛋白序列推断亲缘关系通常分辨率更低。

Answer: A",155,237,0.000000
15,college_biology,biology,B,B,True,"灰色新月体是两栖动物胚胎背腹轴形成所必需的“背侧决定”区域。若第一次卵裂后只有一个卵裂球含有灰色新月体，并将两个卵裂球分离，则**含有灰色新月体的卵裂球**具有形成完整胚胎的能力，但由于其细胞数减少，胚胎会更小。

Answer: B",260,888,0.000000
16,high_school_biology,biology,B,B,True,"B项不正确：胰岛素会促进糖原合成、增加糖原储存，而不是减少。

Answer: B",142,167,0.000000
17,high_school_biology,biology,C,C,True,"这道题最简单的解释是：**黑色与白色由同一基因座上的两个等位基因决定，杂合子表现为灰色**。因此，灰色父母都是杂合子，交配后子代大致出现 **1 黑 : 2 灰 : 1 白** 的比例，这与题目中的 7 黑、17 灰、8 白非常接近。

所以应选 **不完全显性**。

Answer: C",188,626,0.000000
18,high_school_biology,biology,A,A,True,"肝细胞和白细胞一般都来自同一个受精卵，**它们的核 DNA 基本相同**；不同细胞类型的差别主要在于**哪些基因被表达**，而不是基因本身不同。  
因此：

- **A 正确**：肝细胞含有的 DNA 与白细胞所含 DNA 相同。  
- B 不对：并不是大部分 DNA 都会被转录。  
- C 不对：被翻译的是 mRNA，不是 DNA。  
- D 不对：糖原储存不是“特有基因”导致的，不同体细胞通常有相同基因组。

Answer: A",199,411,0.000000
19,college_biology,biology,D,D,True,"人体内维持血清钙水平的主要激素是**甲状旁腺激素**，它能促进血钙升高，维持钙稳态。

Answer: D",132,148,0.000000
20,college_biology,biology,A,A,True,"植物沿着格架生长，主要是因为茎或卷须受到支架接触刺激后产生定向生长，这属于**向触性**。

Answer: A",116,218,0.000000
21,college_biology,biology,C,C,True,"贝氏拟态是指一种缺乏防御能力的生物，通过模仿有防御能力或有害的生物来获得保护。选项 C 中飞蛾与蛰蜂外观相似，属于典型的贝氏拟态。

Answer: C",221,361,0.000000
22,high_school_biology,biology,A,A,True,"秋水仙碱会结合微管蛋白，抑制微管聚合，因此最直接受损的是依赖微管纺锤体的过程，尤其是有丝分裂时染色体的排列与分离。

Answer: A",205,150,0.000000
23,college_biology,biology,C,C,True,"陆地生态系统的净初级生产力通常在热带地区更高，主要是因为热带地区**水分充足、气温温暖**，这些条件更有利于植物进行光合作用和持续生长，因此能产生更多的生物量。

Answer: C",186,146,0.000000
24,high_school_biology,biology,D,D,True,"金枪鱼、鲨鱼和海豚虽然亲缘关系很远，但都生活在需要高效游泳的水环境中。流线型身体能减少水阻，因此在这些环境里更容易被自然选择保留下来。这是趋同演化的典型例子。

Answer: D",166,235,0.000000
25,high_school_biology,biology,D,D,True,"种群中“固定”基因座比例越高，说明该种群遗传变异越少，因此：

- 核苷酸变异会降低；
- 平均杂合性会降低。

所以应选 **D（仅 A 和 C）**。

Answer: D",129,1040,0.000000
26,college_biology,biology,D,D,True,"该杂交为：

- 高大紫花植株：**DDWw**
- 矮小白花植株：**ddww**

亲本配子分别为：

- **DDWw** → **DW** 和 **Dw**
- **ddww** → 只有 **dw**

子代可能是：

- **DdWw** → 高大紫花
- **Ddww** → 高大白花

所以后代表现型比例为 **1 高大紫花：1 高大白花**，对应 **D**。

Answer: D",243,276,0.000000
27,high_school_biology,biology,B,B,True,"两只豚鼠都表现为黑色，但后代出现了 3:1 的黑白比例，说明亲代都携带隐性白色等位基因。

只有 **Bb × Bb** 的杂交能产生：
- 1/4 BB（黑）
- 1/2 Bb（黑）
- 1/4 bb（白）

所以父母的基因型最可能是 **Bb × Bb**。

Answer: B",174,182,0.000000
28,college_biology,biology,C,C,True,"流感病毒是 RNA 病毒，进入宿主细胞后会启动自身基因组的复制，并合成病毒蛋白质；它不会把 DNA 整合进宿主染色体，也不使用逆转录酶。  
Answer: C",156,294,0.000000
29,high_school_biology,biology,B,B,True,"化石记录显示马的体积随着时间逐渐变大，这种性状沿着一个方向持续变化，最符合**方向选择**的特征。  

Answer: B",132,139,0.000000
30,high_school_biology,biology,B,B,True,"加拉帕戈斯群岛上的雀类在长期地理隔离后，从共同祖先分化出许多不同物种，这是**趋异进化**的典型例子，而不是趋同进化或稳定选择。  

Answer: B",173,209,0.000000
31,high_school_biology,biology,D,D,True,"食物增加、捕食压力减小、以及更多个体存活并参与繁殖，都会使种群数量上升；同时，更多个体进入繁殖群体也可能带来更高的遗传多样性。因此这三项都可能正确。

Answer: D",253,4459,0.000000
32,high_school_biology,biology,A,A,True,"光合作用中释放出的氧气来源于水分子（H2O）的分解，而不是二氧化碳。

Answer: A",110,128,0.000000
33,college_biology,biology,A,A,True,"当反应速率达到最大值（Vmax）时，说明酶已经基本被底物“饱和”，大多数酶分子的活性位点都被乙醛占据，因此再增加乙醛浓度也不会明显提高速率。

- A 正确：几乎所有酶分子都在与乙醛分子相互作用。
- B 虽然酶会降低活化能，但这不是“达到最大速率时”特有的现象。
- C 错误：酶不改变反应的自由能变化。
- D 错误：酶仍然具有特异性。

Answer: A",211,438,0.000000
34,high_school_biology,biology,B,B,True,"根据查尔格夫定律，DNA 中腺嘌呤与胸腺嘧啶相等，鸟嘌呤与胞嘧啶相等，因此总的**嘧啶 : 嘌呤**比值保持恒定，为 1:1。

Answer: B",160,187,0.000000
35,college_biology,biology,C,C,True,"在细胞分裂过程中，纺锤体微管附着在染色体的**着丝点**上，因此答案是 **C**。

Answer: C",127,143,0.000000
36,high_school_biology,biology,D,D,True,"原核细胞和动物细胞都具有细胞膜和核糖体；动物细胞没有细胞壁，而大多数原核细胞有细胞壁，因此可用于区分的是细胞壁。

Answer: D",118,438,0.000000
37,high_school_biology,biology,B,B,True,"种间相互作用是不同物种之间的关系，如偏利共生、互利共生、寄生等；“演替”指的是生态系统随时间发生的变化过程，不是种间相互作用。

Answer: B",114,144,0.000000
38,college_biology,biology,B,B,True,"固定动作模式（fixed action pattern）通常是由特定刺激触发后，几乎不依赖后续感觉反馈、按相对固定程序完成的一种本能行为反应。  
因此，正确选项是 **B**。

Answer: B",154,256,0.000000
39,college_biology,biology,D,D,True,"如果一种酶的活性在很宽的 pH 范围内都保持恒定，通常说明反应过程中**没有关键的可电离基团**参与，因为如果有这类基团，pH 改变通常会影响其电离状态，从而影响酶活性。

因此答案是：

Answer: D",163,347,0.000000
40,high_school_biology,biology,D,D,True,"纯水的水势为 0，水会从水势高的地方流向水势低的地方。要让水进入马铃薯，马铃薯组织的水势必须低于纯水，因此马铃薯的水势应为负值。

Answer: D",154,289,0.000000
41,college_biology,biology,D,D,True,"杂交种最初不育，主要是因为来自两个亲本的染色体无法在减数分裂中正常配对。  
如果染色体数目自发加倍，那么每条染色体都会有对应的同源染色体可以配对，减数分裂就能恢复正常，因此后代通常会恢复有性生殖能力。

Answer: D",228,176,0.000000
42,high_school_biology,biology,D,D,True,"这是**移码突变**。

Answer: D",133,182,0.000000
43,college_biology,biology,A,A,True,"人类基因组中真正**编码蛋白质**的部分只占很小一部分，大约 **1%–2%**，常见近似值是 **2%**。

因此答案是：

Answer: A",111,167,0.000000
44,high_school_biology,biology,C,C,True,"因为 pike-cichlids 是**视觉捕食者**，食藻鱼更可能演化出能**降低被看见概率**的性状，比如更低调的体色、夜间活动、以及较小体型时就性成熟。  
相反，**选择体型更大的雌鱼，并且还产下更多且更大的幼崽**，并不是视觉捕食压力下最典型、最可能出现的方向。

Answer: C",215,1410,0.000000
45,college_biology,biology,A,A,True,"原生生物界的生物**都是真核生物**，因此正确的是 **A**。

- **B** 错：蓝藻属于细菌，不属于原生生物。
- **C** 错：原生生物中既有异养也有自养的。
- **D** 错：肽聚糖是细菌细胞壁的成分，不是原生生物的典型成分。

Answer: A",143,322,0.000000
46,college_biology,biology,A,A,True,"ε重链对应的是 **IgE**。  
IgE 常与肥大细胞和嗜碱性粒细胞表面的 Fc 受体结合，参与过敏反应。

Answer: A",129,169,0.000000
47,high_school_biology,biology,B,B,True,"病毒的基本结构至少包括**核酸**和**衣壳（蛋白质外壳）**；有的病毒还具有包膜，但不是所有病毒都有。

Answer: B",121,166,0.000000
48,high_school_biology,biology,D,D,True,"这些结构虽然功能不同，但骨骼排列和胚胎发育来源相似，说明它们是**同源结构**。生物学家通常据此判断它们**具有共同祖先**，而不是趋同进化。

Answer: D",193,233,0.000000
49,high_school_biology,biology,D,D,True,"动作电位遵循“全或无”原则，单个动作电位的强度不会因为刺激更强而变大；更强的刺激通常会让神经元在单位时间内发放更多动作电位，也就是频率增加。

Answer: D",215,1267,0.000000
50,marketing,business,C,C,True,"服务的五个典型特征通常是：无形性、易逝性、可变性、不可分割性和缺乏所有权。与之完全对应的是 C。

Answer: C",176,214,0.000000
51,business_ethics,business,A,A,True,"根据 Wood（1991）的企业社会表现模型，企业社会责任的三个结果（outcomes）是：**社会政策、社会计划和社会影响**。因此，正确答案是 **A**。

Answer: A",140,198,0.000000
52,marketing,business,D,D,True,"为他人目的收集的数据，属于二手研究（secondary research）或二手数据。  
Answer: D",116,193,0.000000
53,marketing,business,C,C,True,"在品牌定位中，通常会使用**感知地图**来展示所选品牌在不同属性维度上的位置与差异，便于与竞争品牌进行比较。

Answer: C",116,161,0.000000
54,marketing,business,D,D,True,"这类目标属于“收获/收集”型目标，即在衰退期尽量最大化短期利润并产生正现金流。

Answer: D",133,392,0.000000
55,marketing,business,C,C,True,"题干描述的是以效率为导向、追求最低价格并通过供应商竞争来达成目标的采购方式，这对应“价格最低着”采购。

Answer: C",182,481,0.000000
56,marketing,business,C,C,True,"这种营销方式指的是收件人事先同意接收邮件的电子邮件营销，称为“基于许可的电子邮件营销”。

Answer: C",132,124,0.000000
57,business_ethics,business,D,C,False,"这句话强调的是企业在竞争中采取的一类“花招/把戏”，而不是一般意义上的合理竞争或单纯欺诈；四个选项里最贴切的是“竞争把戏”。

Answer: C",135,1314,0.000000
58,marketing,business,C,C,True,"这种在分销渠道中，处于不同层级的成员（如生产商、分销商、零售商）之间因价格上涨、区域划分等问题产生的冲突，称为**垂直冲突**。

Answer: C",144,146,0.000000
59,marketing,business,A,A,True,"这类基于互联网、旨在向渠道成员（包括最终用户）提供信息的组织，称为“信息中介（infomediary）”。

Answer: A",124,256,0.000000
60,marketing,business,B,B,True,"在国际市场调查中的“三种对等”通常指概念对等、功能对等和翻译对等；“市场对等”不属于其中之一。

Answer: B",128,561,0.000000
61,business_ethics,business,C,C,True,"伊斯兰金融通常禁止利息（riba）、不确定性交易（gharar）、投机/赌博性交易（maysir），并要求金融产品有有形资产支持。因此应选 C。

Answer: C",179,363,0.000000
62,marketing,business,D,D,True,"在消费者行为学中，**认知、感知、学习**都属于解释消费者如何思考和了解产品与品牌的基本心理过程；而**个性**是消费者相对稳定的人格特征，不是一个“过程”。

Answer: D",115,162,0.000000
63,marketing,business,A,A,True,"这是“搜索目录”或“网站目录”，即由人工编辑按类别和子类别整理的网站数据库。

Answer: A",123,187,0.000000
64,management,business,A,A,True,"March（1988 年）在高度模糊环境下的决策流通常包括：**问题、解决方案、参与者、选择机会**。  
因此，不属于这些关键流的是 **期望**。

Answer: A",126,179,0.000000
65,business_ethics,business,A,A,True,"句子最自然的搭配是“结果主义推理”，在企业中常体现为“成本效益分析”。因此应选 A。

Answer: A",140,493,0.000000
66,marketing,business,D,D,True,"要使交换发生，最基本的条件是：交易双方都必须拥有对对方有价值的东西，这样彼此才愿意进行交换。  
因此正确答案是 D。

Answer: D",134,184,0.000000
67,management,business,B,B,True,"广告通常属于通过品牌、形象和认知来区分产品的手段，更接近差异化。

Answer: B",105,541,0.000000
