index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"生物进化论认为，物种之间某种蛋白质（如血红蛋白）的氨基酸序列越相似，说明它们之间的亲缘关系越近，分化出现的时间越晚。

1.  题目已知：人血红蛋白与黑猩猩血红蛋白的相似性高于与狗血红蛋白的相似性。
2.  由此推论：人与黑猩猩的亲缘关系比人与狗的亲缘关系更近。
3.  分析选项：
    *   A) 与推论相反，排除。
    *   B) 虽然黑猩猩和大猩猩都属于灵长类，且人与黑猩猩/大猩猩亲缘关系确实比与狗更近，但原文中未提到大猩猩。不过在生物学常识中，人与黑猩猩的亲缘关系更近是可以肯定的。题目探讨的是相似性揭示的亲缘关系。
    *   C) 生物界所有生物都有共同祖先，不存在“无亲缘关系”的情况，排除。
    *   D) 虽然人和黑猩猩很相似，但选项的表述未直接指向“亲缘关系更近”这一科学结论的本质重点（即B选项更符合进化论关于亲缘关系的结论描述）。

重新审视B选项：该选项指出“人与大猩猩（黑猩猩的亲缘物种）的亲缘关系比人与狗的亲缘关系更近”，这是基于题目逻辑的必然推论（人与黑猩猩更近，人与灵长类动物普遍比与犬科动物更近）。

分析选项的逻辑性：
题目问“这种相似性表明……”，显然是要求对亲缘关系进行比较。
A错误。
B正确：既然人与黑猩猩（灵长目）很近，那么人与亲缘关系较近的灵长目成员（如大猩猩）相比于狗（食肉目），亲缘关系确实更近。

Answer: $B$",155,441,0.000000
1,college_biology,biology,A,C,False,"我们可以通过分析胚胎学中的相关理论来回答这个问题：

1.  **选项 A (个体发育重演系统发育)：** 这是赫克尔（Ernst Haeckel）提出的“重演论”。虽然它在历史上很有名，但现代现代生物学认为它是不准确的，胚胎不会完整重复祖先的成体阶段。
2.  **选项 B (早期胚胎展示了其纲、目和种的相同特征)：** 错误。根据冯·贝尔（Karl Ernst von Baer）的胚胎发育定律，早期胚胎更倾向于展示该门（Phylum）的共同特征，而不是细分的纲、目或种的特征。
3.  **选项 C (早期人类胚胎与早期鱼类和鸟类胚胎有共同特征)：** 正确。这是冯·贝尔定律的核心内容。脊椎动物在胚胎发育的早期阶段（如具有咽囊、尾巴、脊索等结构）表现出高度的相似性，这些特征揭示了它们共同的进化起源。
4.  **选项 D (人类胚胎在发育过程中显示出成年鱼类和鸟类的特征)：** 错误。人类胚胎展示的是脊椎动物的原始胚胎特征（如鳃裂或咽囊），而不是成年鱼类或鸟类的完全发育结构。

因此，胚胎学家有理由得出结论，早期脊椎动物胚胎之间存在共同的特征。

Answer: $C$",143,314,0.000000
2,high_school_biology,biology,D,D,True,"本题要求找出“哪项不是防止种间繁殖（生殖隔离）的示例”。

1.  **生殖隔离**（Reproductive Isolation）是指自然条件下，种群间不能交配或交配后不能产生可育后代的机制，是物种形成的必要条件。
2.  **选项分析**：
    *   **A) 潜在配偶出现地理隔离**：地理隔离使得两个种群无法接触，从而无法交配，这是防止种间繁殖的常见机制之一（属于隔离机制）。
    *   **B) 潜在配偶出现行为隔离**：行为隔离（如鸣叫方式不同、信息素不同等）使得不同物种的个体即使相遇也不发生交配，这是防止种间繁殖的机制。
    *   **C) 潜在配偶求爱仪式不同**：求爱仪式是动物识别同种配偶的重要行为，不同物种求爱仪式的差异会导致无法完成交配（属于行为隔离的范畴），这是防止种间繁殖的机制。
    *   **D) 潜在配偶繁殖季节相似**：如果两个物种的繁殖季节相似，它们更有可能在同一时间处于繁殖状态，从而**更有可能**发生杂交。因此，“繁殖季节相似”**不会**阻止种间繁殖，反而是促进（或至少是不阻碍）种间繁殖的因素。相反，“繁殖季节不同”（季节隔离）才是防止种间繁殖的机制。

综上所述，选项D不是防止种间繁殖的示例。

Answer: $D$",96,339,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡（Apoptosis）的基本特征分析如下：

A) **随机发生**：细胞凋亡是有序的、受基因调控的生理过程，而不是随机发生的。它受到严格的信号通路（如Caspase级联反应）控制。因此，该描述是不正确的。

B) **在生物体不再需时，特定细胞死亡**：这是细胞凋亡的主要功能之一，例如胚胎发育过程中指间蹼的消失，以修整生物体结构。这是正确的。

C) **积累了太多突变时，细胞会凋亡**：这是机体保护自身免受癌症等疾病侵害的重要机制，即通过凋亡清除受损严重的细胞。这是正确的。

D) **植物细胞被寄生虫感染时，凋亡会作为防御措施**：植物确实存在类似于程序性细胞死亡的防御机制（如过敏性坏死反应），用于限制病原体扩散。这是正确的。

综上所述，选项 A 的说法是不正确的。

Answer: $A$",128,221,0.000000
4,high_school_biology,biology,B,B,True,"题目中提到：导致特定斑纹的基因同时会导致交叉眼（一种适应不良的性状）。然而，因为这种斑纹模式本身具有高度的**适应性**（即其带来的好处超过了因交叉眼带来的不利），结果是猫群中这种斑纹模式和交叉眼都增加了。

我们可以对选项进行分析：

*   **A) 进化是渐进的，倾向于进化为更完美的种群。** —— 题目中的情况展示了进化不仅不是趋向于“完美”，反而保留了“适应不良”的交叉眼特性，因为它是伴随更有利性状（斑纹）出现的。这不支持此结论。
*   **B) 表型通常是折中的结果。** —— 在生物学中，如果一个基因既涉及优势性状（斑纹），又涉及劣势性状（斜视），生物体最终表现出的性状往往是一种平衡和折中。自然选择保留了这种组合，因为它在总体上是有利于生存的。这完美符合题意。
*   **C) 自然选择会随时间减少种群中适应不良基因的频率。** —— 虽然这是自然选择的一般倾向，但题干中的事实正相反：由于该基因与高适应性斑纹连锁，即使其导致了适应不良（斜视），该基因频率仍随时间增加。直接否定了此结论。
*   **D) 多基因遗传一般适应不良，后代中应该不太常见。** —— 题目并未提及多基因遗传的普遍性或其在后代中的频率问题，且与题干强调的“增加”趋势相违背。

综上所述，由于有利性状和不利性状由同一基因决定，个体的表型最终是这些竞争力量之间的一种“折中”。

Answer: $B",180,389,0.000000
5,high_school_biology,biology,C,C,True,"为了回答这个问题，我们需要分析“尿黑酸尿症”（Alkaptonuria）的遗传方式。

1.  **确定遗传规律**：尿黑酸尿症是一种典型的**常染色体隐性遗传病**。
2.  **分析选项 A 和 B**：
    *   因为该病是常染色体遗传，与性染色体（X、Y）无关，所以涉及 X-X 或 X-Y 的表述（针对性别遗传特征）通常是不准确的，除非题目中明确提到该病为伴性遗传，但尿黑酸尿症并非伴性遗传。
3.  **分析选项 C**：
    *   在隐性遗传中，如果 II 代的父母均为杂合子（携带者，Aa），那么他们生育患病后代（aa）的概率遵循孟德尔遗传定律：1/4，即 25%。根据家系图中通常给出的信息（若父母均表现正常但生出了患病子女，则父母必为杂合子），这是最符合常染色体隐性遗传病特征的推论。
4.  **分析选项 D**：
    *   同样涉及 X 染色体，与常染色体遗传逻辑冲突。

**结论**：
*   尿黑酸尿症是常染色体隐性遗传。
*   如果是隐性遗传且双亲为携带者，后代患病率为 25%。

因此，选项 C 是最科学且符合遗传学规律的说法。

Answer: $C$",393,333,0.000000
6,high_school_biology,biology,C,C,True,"为了确定 tRNA 反密码子的序列，我们需要遵循以下步骤：

1. **确定模板链和 mRNA 序列**：
   - 题目给出的 DNA 序列是 5′-C-A-T-3′。在蛋白质合成中，mRNA 是以 DNA 模板链为模板，按照碱基互补配对原则（A-U, T-A, C-G, G-C）合成的，且方向是反向并行的（5′ 到 3′）。
   - 如果 DNA 序列 5′-C-A-T-3′ 是模板链，则它在转录时，mRNA 序列的合成方向是从 3′ 到 5′ 与其互补。
   - DNA 链：5′-C-A-T-3′
   - 对应的 mRNA 链（互补且反向）：3′-G-U-A-5′，即 mRNA 为 5′-A-U-G-3′。

2. **确定 tRNA 反密码子**：
   - tRNA 的反密码子与 mRNA 的密码子进行碱基互补配对。
   - mRNA 的密码子是 5′-A-U-G-3′。
   - tRNA 的反密码子序列应与此互补，且书写方向通常以 5′ 到 3′ 表示。
   - 互补配对原则：A 对 U，U 对 A，G 对 C。
   - 若 mRNA 为 5′-A-U-G-3′，则对应的反密码子为 3′-U-A-C-5′。
   - 将其写为常用的 5′ 到 3′ 格式即为 5′-C-A-U-3′。

3. **重新核对逻辑**：
   - 若 DNA 为 5′-CAT-3′（这里作为模板链），转录出的 mRNA 是 5′-AUG-3′。
   - tRNA 的反密码子与 mRNA (5′-AUG-3′) 互补，即 3′-UAC-5′。
   - 按照题目给出的选项格式，5′-C-A-U-3′ 与 3′-U-A-C-5′ 在逻辑上是配对的。

因此，tRNA 反密码子为 5′-C-A-U-3′。

Answer: $C",162,525,0.000000
7,college_biology,biology,C,C,True,"首先分析选项：

*   **A) 蓝藻还原硫化合物：** 蓝藻（光合自养生物）主要进行产氧光合作用，利用水作为电子供体，而不是还原硫化合物（那是某些光合细菌如绿硫菌的特性）。
*   **B) 蓝藻没有细胞壁：** 这是一个错误的说法。蓝藻属于原核生物，它们拥有由肽聚糖组成的细胞壁。
*   **C) 蓝藻没有细胞核：** 蓝藻是原核生物（Prokaryotes），其核物质分布在拟核中，没有成形的细胞核；而绿藻（包括单细胞绿藻）是真核生物（Eukaryotes），拥有由核膜包围的成形细胞核。这是两者的核心区别。
*   **D) 绿藻产生细胞膜：** 蓝藻和绿藻都有细胞膜，这是生物细胞的共有特征，不能作为区分两者的标志。

因此，蓝藻（原核生物）与单细胞绿藻（真核生物）最显著的不同在于蓝藻没有细胞核。

Answer: $C$",96,249,0.000000
8,high_school_biology,biology,D,D,True,"在生物学实验（如测量叶片光合速率的“漂浮叶盘法”）中，叶片表面通常覆盖着一层蜡质表皮（角质层），这层蜡质是疏水的。当将叶片切成圆盘放入水中时，叶片表面的蜡质层会排斥水分子，使空气（气泡）滞留在叶片表面和气孔周围，导致叶片漂浮，无法下沉。

添加肥皂（表面活性剂）的作用原理如下：
1. 肥皂分子具有两亲性，即同时拥有亲水端和疏水端。
2. 肥皂分子的疏水性尾部能够与叶片表面的疏水性蜡质层结合，而其亲水性头部则向外伸展到水中。
3. 这种排列方式改变了叶片表面的性质，使其亲水性增强，从而降低了水的表面张力，使水能够润湿叶片表面并进入气孔，置换出原本滞留在气孔内部的空气。

选项分析：
A) 肥皂不与氧气结合，且不通过此方式浸没。
B) 肥皂的主要作用不是去除叶片表面的外部气泡，而是润湿叶面以便水能进入。
C) 肥皂的 pH 值对浸没叶片不是直接原因。
D) 描述了肥皂分子的亲水和疏水区域如何作用于蜡质叶面，从而打破疏水屏障，使水进入气孔。

因此，选项 D 准确解释了肥皂帮助叶片下沉的原理。

Answer: $D$",190,360,0.000000
9,college_biology,biology,A,A,True,"我们来分析一下结缔组织的组成：

1.  **结缔组织的构成：** 结缔组织主要由细胞（如成纤维细胞、巨噬细胞、肥大细胞等）和细胞外基质（Extracellular Matrix, ECM）组成。
2.  **细胞外基质的成分：** 
    *   **胶原蛋白（Collagen）：** 是结缔组织中含量最丰富的纤维，构成了细胞外基质的支架。
    *   **糖胺聚糖（Glycosaminoglycans, GAGs）：** 是基质的主要成分之一，与蛋白质结合形成蛋白聚糖。
3.  **细胞成分：**
    *   **成纤维细胞（Fibroblasts）：** 是结缔组织中最主要的细胞类型，负责合成和分泌胶原蛋白及各种细胞外基质成分。
4.  **凝血酶（Thrombin）：** 
    *   凝血酶是一种丝氨酸蛋白酶，主要存在于**血液**（血浆）中，在血液凝固过程中通过将纤维蛋白原转化为纤维蛋白发挥作用。虽然在发生损伤或炎症时，血浆成分可渗出到结缔组织间隙中，但它不属于结缔组织的固有成分。

综上所述，选项 B、C、D 都是结缔组织的典型固有组成部分，而选项 A（凝血酶）属于血液成分。

因此，选项A符合题意。

Answer: $A",86,321,0.000000
