index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"血红蛋白氨基酸序列越相似，说明生物之间的亲缘关系越近。题目说人与黑猩猩的相似性高于人与狗，说明人与灵长类的亲缘关系更近；在给出的选项中，最符合的是 B。

Answer: B",218,4654,0.000000
1,college_biology,biology,A,C,False,"脊椎动物胚胎在早期发育阶段具有许多共同特征，这说明它们有共同祖先，而不是“人类胚胎重演鱼类、鸟类的成年阶段”。因此正确结论是：

Answer: C",201,1363,0.000000
2,high_school_biology,biology,D,D,True,"题目问“哪一项**不是**防止种间繁殖的例子”。

逐项看：

- A 地理隔离：可以阻止不同物种接触，属于隔离机制。
- B 行为隔离：不同求偶行为会阻止交配，属于隔离机制。
- C 求偶意识不同：会导致无法成功交配，也属于隔离机制。
- D 繁殖季节相似：这不会阻止繁殖，反而更可能促成交配，所以**不是**隔离机制。

Answer: D",134,543,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡是**程序性、受调控**的细胞死亡，不是随机发生的。

- A) 随机发生 —— **不正确**
- B) 不再需要时特定细胞死亡 —— 正确
- C) 突变过多时细胞可能凋亡 —— 正确
- D) 植物感染时可通过程序性细胞死亡防御 —— 正确

Answer: A",183,297,0.000000
4,high_school_biology,biology,B,B,True,"The key idea is **pleiotropy**: one gene can affect **more than one trait**.  
Here, genes influencing coat pattern also cause cross-eyedness. Even though cross-eyedness is slightly harmful, if the coat pattern is strongly adaptive, natural selection can still increase the frequency of that gene, causing **both** traits to rise over time.

So the observation best supports **B**.

Answer: B",293,1986,0.000000
5,high_school_biology,biology,C,C,True,"从家系图可判断该病应为**常染色体隐性遗传**。因此，第 II 代的父母 1 和 2 若再生一个孩子，孩子患尿黑酸尿症的概率是 **25%**。  
A、B、D 都是在讨论 X 染色体相关的说法，不符合这里的遗传方式。

Answer: C",166,2140,0.000000
6,high_school_biology,biology,C,C,True,"先把配对关系理清：

1. DNA 序列是 **5′-CAT-3′**
2. 转录出的 mRNA 与 DNA 互补，RNA 中用 **U** 代替 **T**  
   所以对应的 mRNA 密码子可写为 **5′-AUG-3′**（或互补写法 **3′-GUA-5′**）
3. tRNA 的反密码子与 mRNA 密码子互补配对，因此反密码子是 **UAC**  
   按选项的写法，应写作 **5′-C-A-U-3′**

所以答案是 **C**。

Answer: C",206,2361,0.000000
7,college_biology,biology,C,C,True,"蓝藻（蓝细菌）属于原核生物，没有真正的细胞核；而单细胞绿藻属于真核生物，有细胞核。  
所以正确答案是 C。

Answer: C",112,649,0.000000
8,high_school_biology,biology,D,D,True,"肥皂是一种表面活性剂，能降低水的表面张力，并且其分子具有**亲水头**和**疏水尾**：疏水部分可以和叶片表面的蜡质/角质层相互作用，亲水部分则与水分子相互作用，从而帮助水更容易润湿叶片表面。

因此，正确选项是 **D**。

Answer: D",283,333,0.000000
9,college_biology,biology,A,A,True,"结缔组织的基本成分包括细胞（如成纤维细胞）和细胞外基质（如胶原蛋白、糖胺聚糖等）。  
“凝血酶”主要参与血液凝固，不是结缔组织中的常见成分。

Answer: A",107,407,0.000000
10,college_biology,biology,A,A,True,"环节动物和节肢动物的共同点是**身体都分节**。  
虽然它们在循环系统、呼吸方式和感觉器官方面有明显差异，但“分节”是两者都具有的特征。

Answer: A",136,284,0.000000
11,high_school_biology,biology,D,D,True,"突变频率看起来较低，通常是因为很多突变是有害的、隐性的，或者会被自然选择清除掉，所以不容易在群体中积累并被观察到。

A、B、C 都是在解释为什么突变不容易被保留下来；  
D 只是说“突变发生率是可预测的，会导致基因库持续变化”，这并不是“突变频率低”的原因，反而与之无关。

Answer: D",223,707,0.000000
12,college_biology,biology,A,A,True,"真菌的细胞壁主要含有**几丁质**（chitin），这是其典型结构成分。  
其他选项如硅、木质素、胶原纤维都不是真菌细胞壁的主要成分。

Answer: A",103,286,0.000000
13,high_school_biology,biology,B,D,False,"在这些选项里，**D** 最符合“对鱼有利”的解释：把含氮废物排入小而静止的水体，能使环境对其他竞争者更不利，从而减少竞争。  

Answer: D",276,3166,0.000000
14,high_school_biology,biology,A,A,True,"同源基因的核酸序列能保留更多信息，因为很多核苷酸变化是**沉默突变**，不会改变蛋白质的氨基酸序列；而用蛋白序列时这些信息会丢失，所以准确性通常更低。

Answer: A",161,457,0.000000
15,college_biology,biology,B,B,True,"灰色新月体（gray crescent）包含建立背腹轴所必需的决定因子。把第一次卵裂调整到让灰色新月体只进入其中一个裂球后，再把两个裂球分开，那么**含有灰色新月体的裂球**具有发育成完整胚胎的能力，而**不含灰色新月体的裂球**通常不能发育成完整正常胚胎。

因此正确选项是 **B**。

Answer: B",302,1149,0.000000
16,high_school_biology,biology,B,B,True,"逐项判断：

- A) 甲状腺素能增加代谢率 —— 正确  
- B) 胰岛素可减少糖原储存 —— 不正确；胰岛素通常促进糖原合成与储存  
- C) 加压素可刺激肾脏对水的重吸收 —— 正确  
- D) 肾上腺素可增加血糖水平和心率 —— 正确  

Answer: B",141,396,0.000000
17,high_school_biology,biology,C,C,True,"这组后代的数量大致接近 **1 黑 : 2 灰 : 1 白**（7:17:8），最符合**单基因两等位基因、杂合子表现为中间型灰色**的遗传方式。

- 如果是**完全显性**，通常不会出现这种三种表型的比例。
- 如果是**共显性**，杂合子应同时表现黑白两色，而不是灰色。
- **不完全显性**最能解释：黑色和白色杂合后表现为灰色。

因此最简单的解释是：**黑白两种颜色表现为不完全显性**。

Answer: C",213,941,0.000000
18,high_school_biology,biology,A,A,True,"先看题意：问的是“一个肝细胞中的 DNA”，哪种说法正确。

- **A**：肝细胞里的 DNA 和白细胞里的 DNA 基本相同。  
  这是**正确的**。人体大多数体细胞都含有相同的基因组，只是不同细胞表达的基因不同。

- **B**：大部分 DNA 会被转录，但不会被翻译。  
  不对。并不是大部分 DNA 都会被转录，只有其中一部分基因会在特定细胞中表达。

- **C**：大部分 DNA 会在细胞核中被转录，并在细胞质中被翻译。  
  不对，仍然是“大部分 DNA”这个说法错误。

- **D**：肝细胞中的 DNA 只含有糖元储存特有基因，其他细胞不含这些基因。  
  不对，不同体细胞通常都含有同样的基因，只是表达情况不同。

因此正确答案是：

Answer: A",215,472,0.000000
19,college_biology,biology,D,D,True,"人体内维持血清钙水平的主要激素是甲状旁腺激素，它能促进血钙升高并调节钙磷平衡。

Answer: D",120,175,0.000000
20,college_biology,biology,A,A,True,"沿着架子生长的植物主要受到接触刺激，表现出**向触性**。  
Answer: A",108,548,0.000000
21,college_biology,biology,C,C,True,"拟态（mimicry）通常是生物在外形、颜色或行为上模拟其他生物或环境中的物体，以提高生存机会。  
A 属于警戒色/毒性防御后的回避效应，B 是吓阻或眼斑威慑，D 更像保护色；只有 C 中“飞蛾呈现与枯叶相同的颜色”最符合拟态的典型例子。

Answer: C",246,775,0.000000
22,high_school_biology,biology,A,A,True,"Qiu shui xian jian（colchicine）hui jie he wei guan dan bai，fang zhi wei guan jia ze cheng xing，yin er zui zhi jie ying xiang xi bao fen lie shi de tuo si xian ti gong neng。  
Zai ge xuan xiang zhong，zui shuai shou ying xiang de shi you si fen lie qi zhong ran se ti de pai lie he fen li。

Answer: A",226,458,0.000000
23,college_biology,biology,C,C,True,"热带地区的气候通常同时具备**温暖**和**水分充足**的条件，这会显著促进植物的光合作用和生长，因此生态系统的净初级生产量更高。

A 说的是物种多样性，不是直接原因。  
B 说代谢成本更低，不是主要解释。  
D 说分解者和食草动物数量，和初级生产力增加的核心原因不符。

Answer: C",229,244,0.000000
24,high_school_biology,biology,D,D,True,"金枪鱼、鲨鱼和海豚虽然亲缘关系很远，但都生活在水中，流线型体型能减少阻力、提高游泳效率，因此在相似环境中受到自然选择的保留。这属于趋同进化。

Answer: D",188,284,0.000000
25,high_school_biology,biology,D,D,True,"种群中“固定”基因座比例越高，说明该种群遗传变异越少，因此**核苷酸变异**和**平均杂合性**都会更低。对应选项是 **A 和 C**。

Answer: D",125,1572,0.000000
26,college_biology,biology,D,D,True,"由于高大植株基因型为 **DDWw**，而矮小白花植株应为 **ddww**。

分别看两个性状：

- **株高**：DD × dd → 后代全部为 **Dd**，都表现为 **高大**
- **花色**：Ww × ww → 后代一半 **Ww**（紫花），一半 **ww**（白花）

所以后代表现型比例为：

**1 高大紫花 : 1 高大白花**

Answer: D",270,381,0.000000
27,high_school_biology,biology,B,B,True,"黑色毛是显性，白色毛是隐性。  
后代出现 **3/4 黑色、1/4 白色** 的表型比例，正好符合 **杂合子 × 杂合子** 的孟德尔单因子杂交结果：

- **Bb × Bb**  
- 子代基因型比：1 BB : 2 Bb : 1 bb  
- 子代表型比：3 黑 : 1 白

所以父母的基因型最有可能是 **Bb × Bb**。

Answer: B",170,253,0.000000
28,college_biology,biology,C,C,True,"流感病毒进入宿主细胞后，会先脱壳并利用宿主细胞的翻译/复制系统进行自身遗传物质复制和病毒蛋白合成。  
A 是逆转录病毒的特点，D 也是逆转录病毒相关，B 不符合流感病毒的基本复制过程。

Answer: C",164,245,0.000000
29,high_school_biology,biology,B,B,True,"化石证据显示马的体积随着时间**持续朝一个方向变大**，这属于性状沿着某一方向发生变化的模式，也就是**定向选择**。

- **人工选择**：由人类主动选择
- **定向选择**：某一极端性状被偏好，整体向一个方向改变
- **稳定选择**：偏好中间型，减少极端型
- **分裂性选择**：偏好两端极端型

因此最符合的是 **定向选择**。

Answer: B",134,297,0.000000
