index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,D,False,"该题考查的是“相似性越高，亲缘关系越近”的进化判断。人血红蛋白与黑猩猩血红蛋白比与狗的更相似，说明人和黑猩猩的亲缘关系更近。

Answer: D",218,710,0.000000
1,college_biology,biology,A,C,False,"研究脊椎动物从受精卵到胎儿阶段的发育，胚胎学家可以合理地得出：不同脊椎动物在早期胚胎阶段具有共同特征，因此人类早期胚胎与鱼类、鸟类等早期胚胎有相似之处。

Answer: C",201,352,0.000000
2,high_school_biology,biology,D,D,True,"这题问的是“哪项不是……的实例”，前面的几个选项都属于常见的生殖隔离/阻止杂交的机制，而“繁殖器官相似”并不会阻止交配，反而更可能促进交配，因此不是该类实例。

Answer: D",134,392,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡是**程序性**细胞死亡，不是随机发生的。  
因此，错误的是 **A) 随机发生。**

Answer: A",183,135,0.000000
4,high_school_biology,biology,B,C,False,"根据题干，观察到“与交叉眼相关的变异模式具有较高适应性”，因此即便交叉眼本身略有不利，相关的遗传变异仍可能在群体中被保留并增加。这更符合“自然选择会随着时间减少不适应基因频率”这一总体规律，而不是朝“更完美”或“多基因必然不常见”等说法。

Answer: C",293,1138,0.000000
5,high_school_biology,biology,C,C,True,"根据家系图可判断该性状符合常染色体隐性遗传的特征：第二代的父母若都为携带者，再生一个孩子时，患病概率为 25%。

Answer: C",166,777,0.000000
6,high_school_biology,biology,C,D,False,"先确定转录与配对关系：

1. DNA 模板链给的是 **5′-C-A-T-3′**。  
2. 转录时 mRNA 与模板链 **互补且反向平行**，因此 mRNA 为 **5′-A-U-G-3′**。  
3. tRNA 的反密码子要与 mRNA 的密码子 **AUG** 配对，所以 tRNA 反密码子为 **3′-U-A-C-5′**。  
4. 如果按题目选项的写法写成 5′ 端到 3′ 端，则是 **5′-C-A-U-3′** 还是 **5′-U-A-C-3′** 需要看题目对“反密码子”方向的表述。通常反密码子写作与密码子配对的方向时应为 **UAC**。

因此正确选项是：

Answer: D",206,365,0.000000
7,college_biology,biology,C,C,True,"蓝藻属于原核生物，没有成形的细胞核；而单细胞绿藻属于真核生物，有细胞核。  
Answer: C",112,205,0.000000
8,high_school_biology,biology,D,D,True,"肥皂是一种表面活性剂，分子具有“两亲性”：一端亲油，另一端亲水。亲油端会附着在叶片上的油脂残留上，亲水端则与水分子相互作用，使油脂更容易被水带走。

因此，正确答案是 **D**。

Answer: D",283,185,0.000000
9,college_biology,biology,A,A,True,"结缔组织中通常可存在糖胺聚糖、胶原蛋白和成纤维细胞等成分，而“凝血酶”不属于结缔组织的常见组成成分。

Answer: A",107,256,0.000000
