index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"血红蛋白氨基酸序列越相似，说明两者进化上的亲缘关系越近。题干说“人与黑猩猩的相似性比人与狗更高”，所以可推出**人与黑猩猩的亲缘关系比人与狗更近**。

Answer: B",218,238,0.000000
1,college_biology,biology,A,B,False,"研究脊椎动物从受精卵到胎儿阶段的发育，胚胎学家最合理的结论是：不同脊椎动物在早期胚胎阶段表现出相似特征。

因此选 **B**。

Answer: B",201,669,0.000000
2,high_school_biology,biology,D,D,True,"题目问的是“哪一项**不是**防止交配/繁殖的例子”。

逐项看：
- A 地理隔离：会阻止彼此接触，属于隔离机制
- B 行为隔离：求偶行为不同，会阻止交配，属于隔离机制
- C 求偶意识不同：也会阻止交配，属于隔离机制
- D 繁殖季节相似：这**不会**阻止繁殖，反而更容易交配

所以正确答案是 D。

Answer: D",134,438,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡（apoptosis）是**程序性细胞死亡**，不是随机发生的。

- A) “随机发生”——错误，凋亡不是随机过程。
- B) 生物体不再需要某些细胞时，这些细胞会按程序死亡——正确。
- C) 基因突变积累过多时，细胞可通过凋亡被清除——正确。
- D) 植物在病原体感染时也会启动程序性细胞死亡作为防御——基本正确。

因此，不正确的是 **A**。

Answer: A",183,315,0.000000
4,high_school_biology,biology,B,B,True,"题干说明：与斜视相关的毛色多态性如果具有很高适应性，那么这种多态性会随时间增加，同时斜视也会随之增加。  
这表明某些表型多态性可以作为适应性变化的结果而被保留下来并增加，因此最能支持的是 **B**。

Answer: B",293,2847,0.000000
5,high_school_biology,biology,C,C,True,"鸟黑酸尿症是**常染色体隐性遗传**疾病。若第二代的父母 1 和 2 已经生过一个患病孩子，则两人通常都应为携带者（杂合子），因此他们**再生一个孩子患病的概率是 25%**。

A、B、D 都涉及 X 染色体，和该病的遗传方式不符。

Answer: C",166,857,0.000000
6,high_school_biology,biology,C,C,True,"先看转录：

- 给定 DNA 序列：5′-C-A-T-3′  
- 转录得到互补 mRNA：5′-A-U-G-3′

接着 tRNA 的反密码子要与 mRNA 密码子 **AUG** 互补配对，因此反密码子是：

- 3′-U-A-C-5′  
- 若按 5′→3′ 方向写，则为 **5′-C-A-U-3′**

所以正确答案是 **C**。

Answer: C",206,1160,0.000000
7,college_biology,biology,C,C,True,"蓝藻属于原核生物，没有真正的细胞核；而单细胞绿藻属于真核生物，具有细胞核。  
因此两者最主要的区别是：蓝藻没有细胞核。

Answer: C",112,300,0.000000
8,high_school_biology,biology,D,D,True,"肥皂分子是**表面活性剂**，它们一端**亲油/疏水**，可以附着在叶片表面的蜡质或油脂上；另一端**亲水**，与水分子相互作用。这样肥皂就能把原本不易溶于水的蜡质“包裹”起来，形成可被水带走的微小颗粒，从而帮助去除叶片表面的蜡膜。

Answer: D",283,259,0.000000
9,college_biology,biology,A,A,True,"结缔组织的主要成分包括细胞（如成纤维细胞）和细胞外基质，后者含有胶原蛋白、糖胺聚糖等。

“凝血酶”主要参与血液凝固，不是结缔组织中的常见成分，因此不符合题意。

Answer: A",107,297,0.000000
10,college_biology,biology,A,A,True,"环节动物和节肢动物的共同特征是**身体分节**。环节动物如蚯蚓、蚂蟥，节肢动物如昆虫、蜘蛛、甲壳类，都具有分节的身体结构。

Answer: A",136,223,0.000000
11,high_school_biology,biology,D,D,True,"逐步分析如下：

1. 题目问的是：**哪种说法最不可能解释“突变频率看起来较低”**。
2. A、B、C 都是在说：突变产生后，可能因为**不表达、不能繁殖、被自然选择迅速清除**，所以在群体中不容易被观察到，这些都能解释“看起来低”。
3. D 说的是：**可预测的突变发生率会导致基因库持续变异**。这不是导致“看起来低”的原因，反而说明突变会持续发生。

因此，最不可能的是 **D**。

Answer: D",223,507,0.000000
12,college_biology,biology,A,A,True,"真菌的细胞壁主要由**几丁质**构成，而不是纤维素、硅质或角蛋白。

Answer: A",103,210,0.000000
13,high_school_biology,biology,B,B,True,"非洲肺鱼生活在停滞、常常缺水的小水池中，把含氮废物排成**尿素**而不是**氨**，好处是**尿素毒性更低，也更节省水分**，因此更适合这种环境。  
A 错在尿素并不“不溶于水”；C、D 都不符合生物学常识。

Answer: B",276,614,0.000000
14,high_school_biology,biology,A,A,True,"同源蛋白的氨基酸序列只能反映“会改变蛋白质”的突变，而很多核酸层面的变化是**沉默突变**，不会改变氨基酸，因此用蛋白序列来判断进化关系时，信息量通常少于核酸序列，准确性也往往更低。

Answer: A",161,296,0.000000
15,college_biology,biology,B,B,True,"在两栖动物中，灰色新月体决定胚胎的背腹轴和原肠胚形成的诱导能力。把第一个卵裂球分开后，**含有灰色新月体的卵裂球**通常能够发育成一个**完整但较小的胚胎**；而不含灰色新月体的那个卵裂球则不能正常形成完整胚胎。

因此，正确选项是 **B**。

Answer: B",302,841,0.000000
16,high_school_biology,biology,B,B,True,"逐项判断：

- A：甲状腺素可增加代谢率——正确  
- B：胰岛素可减少糖原储存——错误，胰岛素会促进糖原合成与储存  
- C：加压素可刺激肾脏对水的重吸收——正确  
- D：肾上腺素可增加血糖水平和心率——正确  

因此，不正确的是 **B**。

Answer: B",141,305,0.000000
17,high_school_biology,biology,C,C,True,"这组后代中灰色、黑色、白色的比例大致接近 **1:2:1**（17:7:8），这是典型的**中间型遗传/不完全显性**现象：杂合子表现为灰色，两个纯合子分别表现为黑色和白色。

因此最简单的解释是：**黑白颜色性状为不完全显性**。

Answer: C",213,529,0.000000
18,high_school_biology,biology,A,A,True,"肝细胞和白细胞都属于体细胞，通常它们所含的 DNA 基本相同；不同的是基因表达情况不同，而不是 DNA 序列本身不同。  
B、C 把“转录”和“翻译”混淆了；D 也不对，因为大多数体细胞都含有相同的基因，只是在不同细胞中表达不同。

Answer: A",215,307,0.000000
19,college_biology,biology,D,D,True,"人体内维持血清钙水平的主要激素是**甲状旁腺激素**，它能促进血钙升高、调节钙磷平衡。

因此答案是 **D**。

Answer: D",120,256,0.000000
20,college_biology,biology,A,A,True,"植物沿着支架生长、缠绕，主要是对接触刺激作出的反应，属于向触性。

Answer: A",108,835,0.000000
