dataset,doc_id,seg_id,chinese_ZH-PY
newstest2021.zh-en.xml,xinhua-zh-01.120193,1,da lian ： wu xin zeng xin guan fei yan ben di que zhen bing li   xin zeng 24 li wu zheng zhuang gan ran zhe - xin hua wang
wmttest2022.zh-en.xml,en_zh-TW_CLIENT-05_2020-12-20-107_doc05,1,hao hao ， xie xie ， yin can ting shuo yi zhun bei hao
newstest2017.zh-en.xml,dailymail.co.uk.170822,20,wo men ceng wu shu ci kan dao jing cha deng men 。
wmttest2023.zh-en.xml,rfi-chinese.19798,18,gong hui yi jing zhun bei zai xia zhou si ye jiu shi 16 ri zai ci fa qi xing dong ，3 yue 7 ri ， gai ge cao an song jiao can yi yuan tao lun shi ， gong hui ye ji hua zu zhi shi wei xing dong 。
newstest2017.zh-en.xml,ifeng0812.news.49765230_0,25,ping shi jian bu dao nv er ， fu mu zai jia zhong jiang nv er xiao shi hou de hua zuo yi ji li nian de rong yu dou xi xin shou cun zhe 。
newstest2018.zh-en.xml,cctv_news_1117,223,ling hui de tong shi hai yao qu shi jian 。
newstest2021.zh-en.xml,xinhua-zh-01.120583,2,xin hua she bei jing 7 yue 26 ri dian （ ji zhe jia qi long ） jun wei zheng zhi gong zuo bu 、 jun wei guo fang dong yuan bu jin ri lian he yin fa tong zhi ， bu shu zhan kai 2020 nian cong pu tong gao deng xue xiao bi ye sheng zhong zhi jie zhao shou shi guan gong zuo 。
newstest2019.zh-en.xml,reuters-zh.2004,13,jin guan ji jin ci ji ji hua de bi duan zeng duo ， pi ru chang qi di li lv qin shi jin rong ji gou de huo li ， dan tong zhang di mi que po shi ri ben yang hang wei chi gai ji hua 。
newstest2020.zh-en.xml,chinanews.com.102503,14,kao lv dao you xian gu zai gong si fa shang yi you jiao cheng shu de li lun tan tao ， jian yi jiang qi zuo wei fang fan ru gu shi di feng xian de chang dao xing gui ding 。
newstest2020.zh-en.xml,chinanews.com.102532,11,zhe tiao dao lu shun ying shi dai chao liu 、 fu he zhong guo guo qing ， shen ke gai bian zhong guo ren min he zhong hua min zu de ming yun ， ye wei shi jie he di qu he ping fa zhan zuo chu zhong da gong xian ， shi yi tiao zou de tong 、 zou de dui 、 zou de hao de qiang guo zhi lu 。
wmttest2023.zh-en.xml,GCC-1,41,"zhe ge xuan xiang ,  he ta de fan yi xuan xiang ,  shi na yang de cheng xu gong zuo zai dui ying de mo ren zhi shang ."
wmttest2023.zh-en.xml,chinanews.com.280870,1,fei yong sheng yi ban shen zhi geng duo ？
newstest2018.zh-en.xml,washpost.116881,16,huo gen bing bu shi yi ge fan dong de ji zao fen zi 。
newstest2019.zh-en.xml,chinanews.com.1466,6,ta ren wei ， zhi you jiang li shi ming ke zai xin zhong ， fang neng jiang kang zhan jing shen chuan cheng xia qu 。
wmttest2023.zh-en.xml,chinese.dw.com.9579,28,a la si jia da di zhen （1964 nian ）
newstest2021.zh-en.xml,chinanews.com.229486,6,2 yue 28 ri ， yi se lie ben tu que zhen di yi li xin guan fei yan bing li ， yi xun su cai qu le guan bi suo you chu ru jing kou an ， zan ting fei bi yao hang ye ， xue xiao gai wei wang shang shou ke ， xian zhi gong gong jiao tong he fei bi yao she jiao huo dong ， feng suo yi qing yan zhong cheng shi ， jun jing lian he wei hu fang kong ju cuo deng 。
newstest2020.zh-en.xml,chinanews.com.102756,1,yue 8 yi ren ci guo qing chu you zhe she zhong guo lv you gong xu liang wang
wmttest2022.zh-en.xml,social_zh_douban.com_210174796,3,di shi ba tiao   gong an bu xiao fang ju shi yi ji zhu ce xiao fang gong cheng shi zi ge de zhu ce shen pi bu men 。
newstest2019.zh-en.xml,chinanews.com.1800,5,mu qian ， shang hai di qu ying er si wang lv jiang zhi 3.71 ‰ ，  ming xian di yu quan guo ping jun shui ping ， da dao fa da guo jia de xian jin shui ping 。
newstest2020.zh-en.xml,chinanews.com.102805,3,CCF da shu ju xue shu hui yi yi jia qiang cong shi da shu ju ling yu guo nei wai xue zhe zhi jian lian xi yu jiao liu ， cu jin duo xue ke jiao cha rong he yu da shu ju chan ye fa zhan wei zong zhi ， li jing 7 jie ， yi fa zhan cheng wei yi ke yan cheng guo jiao liu wei zhu 、 guo nei zui you ying xiang de da shu ju xue shu hui yi ， hui yi nei rong kuo zhan dao ji chu li lun 、 ji shu ying yong deng ling yu 。
newstest2018.zh-en.xml,cctv_news_1217,440,wo guo kong jian ke xue wei xing xi lie de shou fa xing ， tong shi ye shi shi jie shang shou ke an wu zhi li zi tan ce wei xing wu kong
newstest2018.zh-en.xml,014_wemedia,5,bi sai jie shu hou ， dui zhang jiang cuo biao shi ， ta xi wang tong guo can jia bi sai ji lei jing yan ， wei xi zang de lan qiu shi ye jin li 。
newsdev2017.zh-en.xml,abcnews.199680,12,fan dui zhe men ze biao shi ， ta men dan you gai zhou jiang tong guo zhe liang tiao sui dao cong sa ke la men tuo he yi ji jiu jin shan wan zhong fen liu tai duo de shui ， cong er dui jia li fu ni ya zhou bei bu zao cheng sun hai ， bing jin er wei xie na li wu zhong de sheng cun 。
wmttest2023.zh-en.xml,grocery-3-zh_0192439-140,5,hai you pai xia shi ti shi er shi ji hao dao ， zhe ge shi 14 hao shou dao de ， wo di yi ci zai zhe li hai wai gou ， zhi shi ba zi ji de yi huo xie xia lai ， huo xu zhe dou shi zheng chang de ？
newstest2018.zh-en.xml,124_content_27676754,1,ju ju zu yi ming yan yuan tou lu ， zhang mo zai xian chang shi ge xin si xi ni de ren ， cong qun zhong yan yuan dao fu hua dao ， fang fang mian mian dou yao qin zi ding dao wei 。
newstest2020.zh-en.xml,chinanews.com.102645,12,bao dao zhi chu ， xin ban 《 bi hu yu yi min fa 》 yi jing ban bu yi nian ， ta dao zhi zhi zheng dang nei bu yi jian fen qi ， dan tong shi you wu fa an fu you pai fan dui dang 。
wmttest2023.zh-en.xml,gb-2,4,biao  3  zhong mei you zhi ming de si zi jie ren ma wei fen pei jian  6.3。
newstest2017.zh-en.xml,ifeng0812.news.49766540_0,4,shu ju xian shi ， zui jin １０ nian li ， xin xi lan nian jun yi min jing liu ru shu liang wei ２.１８ wan ren ， nian jun ren kou zi ran zeng zhang shu liang wei ３.２３ wan ren 。
newstest2021.zh-en.xml,voa-voachinese.2104,8,wei ji ni ya zhou de a ling dun xian xing qi wu ye jia ru le su song 。
wmttest2022.zh-en.xml,xinhua-zh-01.104145,12,zhe xiang fa ming zai jin nian di 44 jie rui shi ri nei wa guo ji fa ming zhan zhong huo de yin jiang 。
newsdev2017.zh-en.xml,peopledaily0812.energy.c71661-28631514,16,ye nei ren shi biao shi ， he dian zhan xiang mu bu jin you zhu yu ying guo min zhong jiang di yong dian cheng ben ， er qie jiang la dong dang di jing ji 、 dai dong jiu ye 。
newsdev2017.zh-en.xml,ifeng0812.news.49767923_0,3,shuang fang hai jiang gong tong da zao nong cun dian zi shang wu quan guo xing shi fan cheng shi ， tui dong chan ye jie gou tiao zheng he you hua sheng ji 。
newstest2021.zh-en.xml,chinanews.com.229793,2,2020-07-26 20:26:01  lai yuan ： zhong guo xin wen wang   zuo zhe ： yue chuan   ze ren bian ji ： yue chuan
newstest2019.zh-en.xml,qq.com.240,14,wu shu ying lie yi xian xue jiao guan li xiang ， yong sheng ming jian xing xin yang ， ming ji ta men de ying ming ， chuan cheng ta men de jing shen ， jiu shi shou hu min zu de gen yu hun 。
newstest2019.zh-en.xml,chinanews.com.1625,7,zhi yin guo qu sheng huo zai zhe zuo cheng shi de ren men bao shou wu mai zhi ku ， you ci ge wai ke pan lan tian ， er zai bei jing da xiang “ lan tian bao wei zhan  ” ，  chi xu gai shan kong qi zhi liang hou ， wu mai bian shao ， lan tian zeng duo ， min zhong kan zai yan li xi zai xin shang ， huo de de xing fu gan ye shi ge wai you fen liang 。
newstest2017.zh-en.xml,sina0812.tech.doc-ifxuxnai9861987-p3,1,zi iPhoneSE jing yan liang xiang zhi hou ， shou ji shi chang ye ying lai le xiao ping ji de re chao 。
wmttest2023.zh-en.xml,digital_ebook_purchase-3-zh_0263846-153,5,ju li ji you guo nei de you you guo wai de ; ji you zhi ming qi ye jia huo xiao shou yuan you you ming bu jian jing zhuan de ren 。
wmttest2022.zh-en.xml,social_zh_weibo.com_148754204,9,sheng li qi qian you yu zi gong chong xue he qian lie xian su shi fang guo duo ， rong yi la du zi 。
newsdev2017.zh-en.xml,ifeng0812.news.49765487_0,4,xian zai wo men da suan yong shui ni jiao zhu di ba ， zhe yang fang hong hu an hui geng jian gu ， ke yi di yu 50 nian yi yu de hong shui 。”
newstest2018.zh-en.xml,alibaba_web_data_20180124,225,qu bie yu chuan tong de da mai chang 、 chao shi ， he ma xian sheng zai hen duo xiao fei zhe yan li shi yi jia hao wan hao chi de “ wang hong dian ”， shen zhi you zhong jie ji gou da chu le “ he qu fang ” de gai nian 。
newstest2018.zh-en.xml,004_3810009,1,jie zhi dang ri shou pan ， niu yue shang pin jiao yi suo 2016 nian 8 yue jiao huo de qing zhi yuan you qi huo jia ge shang zhang 2.04 mei yuan ， shou yu mei tong 46.80 mei yuan ， zhang fu wei 4.56%。
wmttest2023.zh-en.xml,chinanews.com.280817,19,( ren min ri bao   ji zhe   yan   huan )
newstest2017.zh-en.xml,sina0812.news.doc-ifxuxnpy9305340,12,ru ， si chuan yao qiu ， ge di gong an pai chu suo huo zhe shou wei tuo de she qu fu wu ji gou yao yan ge zhi xing he ding de shou fei xiang mu ji shou fei biao zhun ， jian jue jin zhi chao fan wei 、 chao biao zhun shou fei huo da che shou fei 。
newstest2021.zh-en.xml,xinhua-zh-01.120581,4,jiu jiang shi xun yang qu ren wu bu fu bu zhang wang hui shuo ， shou hong zai ying xiang ， ta men cong 25 ri kai shi ， ji zhong 3 tian shi jian zu zhi ying zheng qing nian ti jian 。
newstest2019.zh-en.xml,chinanews.com.9951,8,zhan shi de cheng guo chuang xin huo yue 、 ying yong fan wei guang 、 fu she dai dong zuo yong da ， fan ying liao dang shi quan qiu hu lian wang ling yu zui xin 、 zui zhong yao de ke ji cheng guo tu po ， ti xian le wang luo xin xi ling yu fa zhan de su du he wei lai qian jing 。
wmttest2022.zh-en.xml,ecommerce_zh_jd.com_93697042,1,xiao bian wei da jia dai lai ou mi jia ji xie dui biao na kuan hao ？
newstest2018.zh-en.xml,sogou_web_data_20180206,77,zai jia nian hua de xian chang ， shi min men chu le ke yi xuan gou xin yi de nong chan pin zhi wai ， hai ke can guan zhan lan qu zhan chu de ben di te xuan xin xian nong zuo wu ji you yu 。
newstest2017.zh-en.xml,reuters.165952,5,liang ren 2015 nian jiao na le 20.3% de lian bang shui 。
newstest2020.zh-en.xml,nhan_dan-zh.330,5,ou meng wei yuan hui zhu xi rang - ke luo de • rong ke biao shi ， jia qiang dui jie shi shang shu zhu zhang de yi bu fen ， yin wei qi gei you guan ge guo ren min ji jing ji dai lai li yi 。
newstest2020.zh-en.xml,chinanews.com.102737,6,ju jie shao ，8 ke yuan xing jin zhi ji nian bi wei pu zhi bi ， han chun jin 8 ke ， zhi jing 22 hao mi ， mian e 100 yuan ， cheng se 99.9 % ，  zui da fa xing liang 10000 mei 。
newstest2018.zh-en.xml,dailymail.co.uk.233026,25,zheng ju biao ming zuo wei wo men yu fang ai zi bing du he zhi chuan bo zhe zhong zhi ming de gan ran ji bing de fang fa de yi bu fen ， zhe zhong yao wu ke yi dai lai zen me yang de bian ge 。
newstest2019.zh-en.xml,chinanews.com.9912,15,shi guan jiang shi zhong ben zhe “ yi ren wei ben ” yuan ze ， chi xu guan zhu ci shi ， tui dong meng fang ji xu quan li sou jiu ， bing wei dang shi ren jia shu ti gong zui da xian du de xie zhu 。
