index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"血红蛋白氨基酸序列越相似，通常说明物种间的进化亲缘关系越近。题干说人和黑猩猩的相似性高于人和狗，说明人和灵长类的亲缘关系比与狗更近。四个选项中，最符合这一结论的是 **B**。

Answer: B",178,876,0.000000
1,college_biology,biology,A,C,False,"脊椎动物在早期胚胎发育阶段往往表现出许多相似的结构特征，这说明不同类群之间存在共同的发育模式，但并不意味着“个体发育重演系统发育”被严格证明。

逐项判断：
- A) “个体发育重演系统发育”是过时且过于绝对的说法，不是从胚胎观察中应得出的结论。
- B) 早期胚胎不可能同时展示其纲、目和种的相同特征；相反，早期阶段常更相似，后期才分化。
- C) 早期人类胚胎与早期鱼类和鸟类胚胎有共同特征。这个符合脊椎动物胚胎学观察。
- D) 人类胚胎不会显示成年鱼类和鸟类的特征，而是与这些动物的早期胚胎相似。

Answer: C",169,287,0.000000
2,high_school_biology,biology,D,D,True,"逐项分析：

- A）地理隔离：不同种群不在同一地点，不能交配，属于生殖隔离。
- B）行为隔离：求偶行为不同，无法成功交配，属于生殖隔离。
- C）求爱仪式不同：会阻止交配，属于生殖隔离。
- D）繁殖季节相似：这会**更有可能**让它们有机会交配，并不是防止繁殖的因素。

因此，不是防止种间繁殖的示例的是 D。

Answer: D",116,222,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡是**程序性细胞死亡**，具有明确调控机制，不是随机发生的。

- A) 随机发生 —— **不正确**
- B) 生物体不再需要时，特定细胞死亡 —— 正确
- C) 突变积累过多时，细胞可通过凋亡清除 —— 正确
- D) 植物细胞受寄生虫/病原体感染时，可通过程序性死亡作为防御 —— 正确

Answer: A",151,200,0.000000
4,high_school_biology,biology,B,B,True,"这种情况说明：同一个基因同时影响两个性状——一个有利（斑纹模式更适应），一个略有不利（交叉眼）。当自然选择偏向这个基因时，有利性状会增加，但不利性状也会“搭便车”一起增加。

这正体现了**表型常常是折中的结果**：  
- 斑纹模式有利于适应环境；  
- 但它同时带来略微不适应的交叉眼；  
- 最终群体中出现的是两者并存的“妥协”结果。

因此最符合的是：

**Answer: B**",216,254,0.000000
5,high_school_biology,biology,C,C,True,"尿黑酸尿症通常是**常染色体隐性遗传**。如果第 II 代的父母 1 和 2 已经生出了患病子代，说明这对父母都应为携带者（杂合子）。因此他们再生一个孩子时，孩子患病的概率是：

- 1/4 = 25%

所以支持的说法是 **C**。

Answer: C",132,988,0.000000
6,high_school_biology,biology,C,D,False,"DNA 序列给出为 5′-C-A-T-3′。转录成 mRNA 时，mRNA 与 DNA 模板链互补配对，得到的 mRNA 密码子为 5′-G-U-A-3′。  
tRNA 的反密码子要与该 mRNA 密码子互补配对，因此反密码子为 3′-C-A-U-5′，按 5′→3′ 写作 5′-U-A-C-3′。

Answer: D",172,461,0.000000
7,college_biology,biology,C,C,True,"蓝藻（蓝细菌）和单细胞绿藻的主要区别在于：蓝藻属于原核生物，没有真正的细胞核；而单细胞绿藻是真核生物，有细胞核。

因此正确答案是 **C**。

Answer: C",109,141,0.000000
8,high_school_biology,biology,D,D,True,"肥皂是一种表面活性剂，能够降低水的表面张力，使水更容易润湿并进入叶片组织。其分子具有疏水和亲水两部分：疏水部分可与叶片蜡质表面相互作用，亲水部分与水分子相互作用，从而帮助叶片盘下沉。

Answer: D",217,235,0.000000
9,college_biology,biology,A,A,True,"结缔组织的基本成分包括细胞、纤维和基质。  
- **糖胺聚糖**：属于基质成分，存在于结缔组织中  
- **胶原蛋白**：是结缔组织中最常见的纤维蛋白  
- **成纤维细胞**：是结缔组织中的主要细胞  
- **凝血酶**：主要参与血液凝固，不是结缔组织的常见成分  

因此，除了 **凝血酶** 之外，其余都可能存在于结缔组织中。

Answer: A",100,248,0.000000
