dataset,doc_id,seg_id,chinese,english,chinese_ZH-PY
newstest2021.zh-en.xml,xinhua-zh-01.120193,1,大连：无新增新冠肺炎本地确诊病例 新增24例无症状感染者-新华网,"Dalian: no new local confirmed COVID-19 cases, 24 new asymptomatic infected - Xinhuanet",da lian ： wu xin zeng xin guan fei yan ben di que zhen bing li   xin zeng 24 li wu zheng zhuang gan ran zhe - xin hua wang
wmttest2022.zh-en.xml,en_zh-TW_CLIENT-05_2020-12-20-107_doc05,1,好好，谢谢，因餐厅说已准备好,"Okay, thank you, because the restaurant staff said it was ready.",hao hao ， xie xie ， yin can ting shuo yi zhun bei hao
newstest2017.zh-en.xml,dailymail.co.uk.170822,20,我们曾无数次看到警察登门。,The amount of times we've seen the police down here is unbelievable.,wo men ceng wu shu ci kan dao jing cha deng men 。
wmttest2023.zh-en.xml,rfi-chinese.19798,18,工会已经准备在下周四也就是16日再次发起行动，3月7日，改革草案送交参议院讨论时，工会也计划组织示威行动。,"The unions are already preparing to launch another action next Thursday, the 16th, and are planning to organize demonstrations on March 7, when the draft reform is sent to the Senate for discussion.",gong hui yi jing zhun bei zai xia zhou si ye jiu shi 16 ri zai ci fa qi xing dong ，3 yue 7 ri ， gai ge cao an song jiao can yi yuan tao lun shi ， gong hui ye ji hua zu zhi shi wei xing dong 。
newstest2017.zh-en.xml,ifeng0812.news.49765230_0,25,平时见不到女儿，父母在家中将女儿小时候的画作以及历年的荣誉都细心收存着。,"Because they cannot often see their daughter, they put away the paintings of her childhood and honors of consecutive years.",ping shi jian bu dao nv er ， fu mu zai jia zhong jiang nv er xiao shi hou de hua zuo yi ji li nian de rong yu dou xi xin shou cun zhe 。
newstest2018.zh-en.xml,cctv_news_1117,223,领会的同时还要去实践。,"While comprehending, we also need to put it into practice.",ling hui de tong shi hai yao qu shi jian 。
newstest2021.zh-en.xml,xinhua-zh-01.120583,2,新华社北京7月26日电（记者贾启龙）军委政治工作部、军委国防动员部近日联合印发通知，部署展开2020年从普通高等学校毕业生中直接招收士官工作。,"Xinhua News Agency Beijing, July 26th, 2020 (Journalist: Jia Qilong) Recently, the Political Work Department of the Central Military Commission (CMC) and the National Defense Mobilization Department of the CMC jointly announced the launch of direct sergeant recruitment among university graduates in 2020.",xin hua she bei jing 7 yue 26 ri dian （ ji zhe jia qi long ） jun wei zheng zhi gong zuo bu 、 jun wei guo fang dong yuan bu jin ri lian he yin fa tong zhi ， bu shu zhan kai 2020 nian cong pu tong gao deng xue xiao bi ye sheng zhong zhi jie zhao shou shi guan gong zuo 。
newstest2019.zh-en.xml,reuters-zh.2004,13,尽管激进刺激计划的弊端增多，譬如长期低利率侵蚀金融机构的获利，但通胀低迷却迫使日本央行维持该计划。,"Although the disadvantages of radical incentive plans were increasing, such as long-term low interest rates eroding the profits of financial institutions, the low inflation forced the Bank of Japan to maintain the plan.",jin guan ji jin ci ji ji hua de bi duan zeng duo ， pi ru chang qi di li lv qin shi jin rong ji gou de huo li ， dan tong zhang di mi que po shi ri ben yang hang wei chi gai ji hua 。
newstest2020.zh-en.xml,chinanews.com.102503,14,考虑到优先股在公司法上已有较成熟的理论探讨，建议将其作为防范入股失地风险的倡导性规定。,"Considering that the preferred stock has a more mature theoretical basis in the Company Law, it is suggested that it should be taken as an advocacy provision to prevent the risk of land loss.",kao lv dao you xian gu zai gong si fa shang yi you jiao cheng shu de li lun tan tao ， jian yi jiang qi zuo wei fang fan ru gu shi di feng xian de chang dao xing gui ding 。
newstest2020.zh-en.xml,chinanews.com.102532,11,这条道路顺应时代潮流、符合中国国情，深刻改变中国人民和中华民族的命运，也为世界和地区和平发展作出重大贡献，是一条走得通、走得对、走得好的强国之路。,"This road conforms to the trend of the times and to China's national conditions, and thus has profoundly changed the fate of the Chinese people and the Chinese nation and made greater contributions to the peaceful development of the world, and is also a way to make China powerful that is feasible, right, and steady.",zhe tiao dao lu shun ying shi dai chao liu 、 fu he zhong guo guo qing ， shen ke gai bian zhong guo ren min he zhong hua min zu de ming yun ， ye wei shi jie he di qu he ping fa zhan zuo chu zhong da gong xian ， shi yi tiao zou de tong 、 zou de dui 、 zou de hao de qiang guo zhi lu 。
wmttest2023.zh-en.xml,GCC-1,41,"这个选项, 和它的反义选项, 使那样的程序工作在对应的默认值上.",This choice and its inverse constrain the identical default behavior for that program.,"zhe ge xuan xiang ,  he ta de fan yi xuan xiang ,  shi na yang de cheng xu gong zuo zai dui ying de mo ren zhi shang ."
wmttest2023.zh-en.xml,chinanews.com.280870,1,费用省一半甚至更多？,Spare at slightest half the cost?,fei yong sheng yi ban shen zhi geng duo ？
newstest2018.zh-en.xml,washpost.116881,16,霍根并不是一个反动的急躁分子。,Hogan is not a reactionary hothead.,huo gen bing bu shi yi ge fan dong de ji zao fen zi 。
newstest2019.zh-en.xml,chinanews.com.1466,6,他认为，只有将历史铭刻在心中，方能将抗战精神传承下去。,He believes that only by engraving history in the heart can the spirit of the war of resistance be passed down.,ta ren wei ， zhi you jiang li shi ming ke zai xin zhong ， fang neng jiang kang zhan jing shen chuan cheng xia qu 。
wmttest2023.zh-en.xml,chinese.dw.com.9579,28,阿拉斯加大地震（1964年）,The Great Alaskan Earthquake of 1964,a la si jia da di zhen （1964 nian ）
newstest2021.zh-en.xml,chinanews.com.229486,6,2月28日，以色列本土确诊第一例新冠肺炎病例，以迅速采取了关闭所有出入境口岸，暂停非必要行业，学校改为网上授课，限制公共交通和非必要社交活动，封锁疫情严重城市，军警联合维护防控举措等。,"On February 28, the first case was confirmed in Israel and prompt measures were taken to close all entry and exit points, suspend non-essential industries, and urge all schools to take classes online; moreover, they restricted public transportation and non-essential social activities, sealed off cities with severe outbreaks, and combined military and police efforts to maintain effective control and prevention measures.",2 yue 28 ri ， yi se lie ben tu que zhen di yi li xin guan fei yan bing li ， yi xun su cai qu le guan bi suo you chu ru jing kou an ， zan ting fei bi yao hang ye ， xue xiao gai wei wang shang shou ke ， xian zhi gong gong jiao tong he fei bi yao she jiao huo dong ， feng suo yi qing yan zhong cheng shi ， jun jing lian he wei hu fang kong ju cuo deng 。
newstest2020.zh-en.xml,chinanews.com.102756,1,约8亿人次国庆出游折射中国旅游供需两旺,The approximately 800 million tourist trips during the National Day holiday reflects booming demand and supply in Chinese tourism industry,yue 8 yi ren ci guo qing chu you zhe she zhong guo lv you gong xu liang wang
wmttest2022.zh-en.xml,social_zh_douban.com_210174796,3,第十八条 公安部消防局是一级注册消防工程师资格的注册审批部门。,Article 18 the Fire Station of the Ministry of Public Security is the registration and approval department for qualification of the registered fire engineers of Class 1.,di shi ba tiao   gong an bu xiao fang ju shi yi ji zhu ce xiao fang gong cheng shi zi ge de zhu ce shen pi bu men 。
newstest2019.zh-en.xml,chinanews.com.1800,5,目前，上海地区婴儿死亡率降至3.71 ‰ ， 明显低于全国平均水平，达到发达国家的先进水平。,"Currently, the infant mortality rate in Shanghai has dropped to 3.71‰, which is significantly lower than the national average level and has reached the advanced level of developed countries.",mu qian ， shang hai di qu ying er si wang lv jiang zhi 3.71 ‰ ，  ming xian di yu quan guo ping jun shui ping ， da dao fa da guo jia de xian jin shui ping 。
newstest2020.zh-en.xml,chinanews.com.102805,3,CCF大数据学术会议以加强从事大数据领域国内外学者之间联系与交流，促进多学科交叉融合与大数据产业发展为宗旨，历经7届，已发展成为以科研成果交流为主、国内最有影响的大数据学术会议，会议内容扩展到基础理论、技术应用等领域。,"CCF Big Data seeks to strengthen contact and exchange between domestic and overseas researchers whose focus is the field of big data field and promote multidisciplinary fusion and development in the big data industry, and after seven successive conferences, the event has become the most influential academic conference focused on big data, and mainly promotes the exchange of scientific research achievements, and has also extended its reach to cover fundamental theory, technical applications, and other fields.",CCF da shu ju xue shu hui yi yi jia qiang cong shi da shu ju ling yu guo nei wai xue zhe zhi jian lian xi yu jiao liu ， cu jin duo xue ke jiao cha rong he yu da shu ju chan ye fa zhan wei zong zhi ， li jing 7 jie ， yi fa zhan cheng wei yi ke yan cheng guo jiao liu wei zhu 、 guo nei zui you ying xiang de da shu ju xue shu hui yi ， hui yi nei rong kuo zhan dao ji chu li lun 、 ji shu ying yong deng ling yu 。
newstest2018.zh-en.xml,cctv_news_1217,440,我国空间科学卫星系列的首发星，同时也是世界上首颗暗物质粒子探测卫星悟空,"The first satellite in China's space science satellite series and the world's first dark matter particle detection satellite, Wukong,",wo guo kong jian ke xue wei xing xi lie de shou fa xing ， tong shi ye shi shi jie shang shou ke an wu zhi li zi tan ce wei xing wu kong
newstest2018.zh-en.xml,014_wemedia,5,比赛结束后，队长江措表示，他希望通过参加比赛积累经验，为西藏的篮球事业尽力。,"After the competition ended, captain Jiang Cuo said that he hoped to gain experience from taking part in the competition, and do his best for Tibetan basketball.",bi sai jie shu hou ， dui zhang jiang cuo biao shi ， ta xi wang tong guo can jia bi sai ji lei jing yan ， wei xi zang de lan qiu shi ye jin li 。
newsdev2017.zh-en.xml,abcnews.199680,12,反对者们则表示，他们担忧该州将通过这两条隧道从萨克拉门托河以及旧金山湾中分流太多的水，从而对加利福尼亚州北部造成损害，并进而威胁那里物种的生存。,"Opponents say they fear the state will use the tunnels to divert too much water from the Sacramento River and San Francisco Bay, harming Northern California and further endangering native species there.",fan dui zhe men ze biao shi ， ta men dan you gai zhou jiang tong guo zhe liang tiao sui dao cong sa ke la men tuo he yi ji jiu jin shan wan zhong fen liu tai duo de shui ， cong er dui jia li fu ni ya zhou bei bu zao cheng sun hai ， bing jin er wei xie na li wu zhong de sheng cun 。
wmttest2023.zh-en.xml,grocery-3-zh_0192439-140,5,还有拍下时提示二十几号到，这个是14号收到的，我第一次在这里海外购，只是把自己的疑惑写下来，或许这都是正常的？,"When I shot the picture, there was also a notification indicating it would arrive on the 20th, on the 14th, I got this one, this is my first buy from abroad, I simply noted my reservations, perhaps this is typical?",hai you pai xia shi ti shi er shi ji hao dao ， zhe ge shi 14 hao shou dao de ， wo di yi ci zai zhe li hai wai gou ， zhi shi ba zi ji de yi huo xie xia lai ， huo xu zhe dou shi zheng chang de ？
newstest2018.zh-en.xml,124_content_27676754,1,据剧组一名演员透露，张末在现场是个心思细腻的人，从群众演员到服化道，方方面面都要亲自盯到位。,"According to an actor in the cast, Zhang Mo is attentive to detail at the set. He would personally attend to every aspect at the set, from the extras to costume and makeup.",ju ju zu yi ming yan yuan tou lu ， zhang mo zai xian chang shi ge xin si xi ni de ren ， cong qun zhong yan yuan dao fu hua dao ， fang fang mian mian dou yao qin zi ding dao wei 。
newstest2020.zh-en.xml,chinanews.com.102645,12,报道指出，新版《庇护与移民法》已经颁布一年，它导致执政党内部意见分歧，但同时又无法安抚右派反对党。,"As reported, the new version of the Asylum and Immigration Act has been enacted for a year, leading to dissension within the ruling party and failure to appease the right-wing opposition party.",bao dao zhi chu ， xin ban 《 bi hu yu yi min fa 》 yi jing ban bu yi nian ， ta dao zhi zhi zheng dang nei bu yi jian fen qi ， dan tong shi you wu fa an fu you pai fan dui dang 。
wmttest2023.zh-en.xml,gb-2,4,表 3 中没有指明的四字节人码位分配见 6.3。,See 6.3 for the task of four-byte human code focuses not indicated in Table 3.,biao  3  zhong mei you zhi ming de si zi jie ren ma wei fen pei jian  6.3。
