index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"在生物学中，分子生物学证据（如氨基酸序列的相似性）常被用来构建生物之间的进化亲缘关系。

1. **分析前提**：人与黑猩猩血红蛋白序列相似度更高，说明人与黑猩猩在进化史上拥有共同祖先的时间较近，即亲缘关系更近；而人与狗的序列差异较大，说明其共同祖先出现的时间较早，亲缘关系较远。
2. **评估选项**：
    * A 项错误，因为高相似度证明的是人与黑猩猩关系更近，而非人与狗更近。
    * B 项正确，在演化树上人与黑猩猩（及大猩猩等灵长类）的地位确实比与狗的关系更近，符合序列相似度所揭示的数据。
    * C 项错误，人与犬虽然亲缘关系较远，但所有生物在演化树上都有共同祖先，因此不能说“无亲缘关系”。
    * D 项虽描述了现象，但题目要求的是该证据所“表明”的进化含义，B 项更能体现演化亲缘关系的结论。

综合分析，B项最符合题目逻辑。

Answer: B",177,272,0.000000
1,college_biology,biology,A,C,False,"胚胎学家在研究脊椎动物发育时发现：

1.  **关于A选项**：海克尔的“重演论”（个体发育重演系统发育）在现代生物学中已被修正，因为它过于简化且不准确，胚胎发育并非简单的线性重演祖先物种的成体形态。
2.  **关于B选项**：这是错误的，早期胚胎通常展示的是纲级水平的共同特征（如所有脊椎动物都有脊索、神经管和咽囊），而不是种级特征（种的特征通常在发育后期才显现）。
3.  **关于C选项**：这是正确的。由于脊椎动物有着共同的进化祖先，早期胚胎在形态上表现出高度的保守性。例如，人类胚胎在发育早期确实会出现咽囊（与鱼类的鳃裂对应）和尾部，这些是脊椎动物门共同的特征，表明不同类群在发育早期共享相似的解剖结构。
4.  **关于D选项**：这是错误的。人类胚胎发育出的是胚胎时期的结构（如咽囊），而不是成年鱼类或鸟类的结构。

因此，胚胎学家得出的科学结论倾向于C。

Answer: C",165,268,0.000000
2,high_school_biology,biology,D,D,True,"在生物学中，防止种间繁殖的机制被称为**生殖隔离机制**（Reproductive Isolation Mechanisms），它们可以分为合子前隔离和合子后隔离。

以下是各选项的分析：

*   **A) 潜在配偶出现地理隔离**：这是一种生殖隔离（合子前隔离），由于空间距离使得不同物种无法接触，从而防止了交配。
*   **B) 潜在配偶出现行为隔离**：这是一种生殖隔离，不同物种对求偶信号或行为的反应不同，导致它们无法互相识别为配偶。
*   **C) 潜在配偶求爱仪式不同**：这也是一种行为隔离，通过由于求爱方式不匹配而阻止了不同物种间的交配。
*   **D) 潜在配偶繁殖季节相似**：如果两个物种的繁殖季节**相似**，它们在时间上是重叠的，这反而**增加**了它们在同一时间交配的可能性，而不是预防。如果繁殖季节不同（即时间隔离），才是防止种间繁殖的机制。

因此，选项 D 不属于防止种间繁殖的机制，相反，它可能导致不同物种在同一时间段内繁殖。

Answer: D",118,270,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡（Apoptosis）具有以下特征：

1.  **程序性**：细胞凋亡是一个受基因控制的主动过程，而非随机发生的过程；与之相对的“细胞坏死”（Necrosis）通常是由于物理、化学等外界损伤导致的被动、随机的细胞死亡。
2.  **生物学功能**：它在生物体发育过程中清除不再需要的细胞（如发育中的蝌蚪尾部消失、人手指蹼的消失），属于有序的生理过程。
3.  **安全性/防御性**：如果细胞积累了过多的严重突变，为了防止癌症等病变的发生，细胞会启动凋亡机制；同时，在植物或其他生物受到病原体（如寄生虫、病毒）感染时，细胞也会通过自杀式凋亡来切断病原体的扩散路径，从而保护整体健康。

选项 A 描述的“随机发生”不符合细胞凋亡是受基因精细调控的“程序性”定义。

Answer: A",150,219,0.000000
4,high_school_biology,biology,B,B,True,"为了回答这个问题，我们首先分析题目中描述的生物学现象：

1.  **基因的多效性**：决定斑纹模式的基因同时也控制着眼睛的生理构造，导致了交叉眼（斜视）。
2.  **适应性权衡**：斑纹模式是对环境“高度适应”的（比如有助于隐藏或交流），而交叉眼则是“略微适应不良”的（即具有负面影响）。
3.  **结果**：即使交叉眼存在负面影响，但由于其与高度适应的斑纹模式绑定，在自然选择中，这种包含代价的性状组合仍在种群中不断增加。

现在分析选项：
*   **A选项**：进化并不总是趋向于“完美”，因为进化受限于遗传关联（多效性）和环境限制，有时甚至会保留缺陷。
*   **B选项**：表型通常是折中的结果。这与题目吻合。因为斑纹带来的高适应性收益超过了交叉眼带来的低适应性损害，生物体在演化中被迫接受了这种“包装在一起”的性状，即一种妥协或折中（Trade-off）。
*   **C选项**：题目中的交叉眼基因频率随时间增加，这与“减少适应不良基因”的说法相矛盾。
*   **D选项**：题目并未讨论多基因遗传的普遍性或是否应该变少，且事实证明这类性状在种群中可以很高产。

因此，该现象体现了生物演化中，为了获得更有利性状而不得不承担的代价，即表型是多种选择压力折中的产物。

Answer: B",202,362,0.000000
5,high_school_biology,biology,C,C,True,"为了回答这个问题，我们需要先分析尿黑酸尿症（Alkaptonuria）的遗传方式。

1.  **确定遗传方式**：尿黑酸尿症是一种典型的**常染色体隐性遗传病**。
    *   这意味着致病基因位于常染色体上。如果一个孩子患病，其父母一定各自携带至少一个致病基因（即表现型正常的父母为杂合子 Aa，患病者为 aa）。

2.  **分析选项**：
    *   **A 和 B 和 D**：由于尿黑酸尿症是**常染色体隐性遗传**，与性染色体（X、Y）无关，因此谈论“X-X”或“X-Y”基因型在描述致病基因传递时是不准确或不相关的。即使考虑到性别，这也不是判断该家系遗传特征的核心结论。
    *   **C 选项**：如果第 II 代的父母 1 和 2 生了患病孩子，说明这对父母双方都是杂合子（Aa × Aa）。根据孟德尔遗传定律，后代患病（aa）的概率计算如下：
        *   Aa × Aa → AA (25%), Aa (50%), aa (25%)。
        *   因此，生下患病孩子的几率确实是 25%。这是遗传学中公认的、符合常染色体隐性遗传规律的结论。

综上所述，C 选项正确描述了常染色体隐性遗传病的遗传概率。

Answer: C",146,335,0.000000
6,high_school_biology,biology,C,C,True,"为了确定 tRNA 的反密码子序列，我们需要遵循基因表达的中心法则（转录和翻译的配对规则）：

1.  **确定模板链与 mRNA 的关系**：题目中给出的 DNA 序列是 5′-C-A-T-3′。在转录过程中，mRNA 是以 DNA 的互补链为模板合成的，或者根据碱基配对原则（A-U, T-A, C-G），与 DNA 模板互补。如果该序列作为模板直接转录，其互补的 mRNA 序列为 3′-G-U-A-5′（或写成 5′-A-U-G-3′ 的反向）。
    *   具体的配对方式：DNA 序列 5′-C-A-T-3′ 对应的 mRNA 密码子（假设该序列为阅读方向）应为 3′-G-U-A-5′，即 5′-A-U-G-3′。

2.  **确定 tRNA 的反密码子**：tRNA 的反密码子与 mRNA 的密码子进行碱基互补配对。
    *   mRNA 的密码子：`5′-A-U-G-3′`
    *   tRNA 反密码子：与密码子互补且反向排布，根据碱基配对（A-U, U-A, G-C），其序列为：3′-U-A-C-5′。

3.  **整理格式**：题目要求以 5′ 端开始书写，3′-U-A-C-5′ 翻转过来即为 5′-C-A-U-3′。

让我们核对一下：
*   DNA 片段：5′-C-A-T-3′
*   转录出来的 mRNA：3′-G-U-A-5′（即 5′-A-U-G-3′）
*   mRNA 对应的互补 tRNA 反密码子（5′ 到 3′）：5′-C-A-U-3′

因此，tRNA 的反密码子序列为 5′-C-A-U-3′。

Answer: C",184,483,0.000000
7,college_biology,biology,C,C,True,"我们可以通过以下几点来分析选项：

1.  **生物学分类**：蓝藻（Cyanobacteria）属于原核生物（Prokaryotes），而绿藻（Green algae）属于真核生物（Eukaryotes）。
2.  **细胞核结构**：原核生物（蓝藻）没有由核膜包被的典型的细胞核，其遗传物质分布在拟核区域；真核生物（绿藻）拥有明确的细胞核。
3.  **其他选项分析**：
    *   A) 蓝藻进行光合作用主要通过水的光解产生氧气，并非以还原硫化合物为主要特征（还原硫化合物常见于某些光合细菌，如绿硫细菌）。
    *   B) 蓝藻拥有复杂的细胞壁（主要成分是肽聚糖），并不是没有细胞壁。
    *   D) 细胞膜是所有细胞（包括原核和真核）的基本结构，绿藻和蓝藻都有细胞膜，因此这不能作为两者的“不同点”。

综上所述，蓝藻与绿藻最根本的区别在于蓝藻属于原核生物，没有成形的细胞核。

Answer: $C$",118,258,0.000000
8,high_school_biology,biology,D,D,True,"这是一道关于植物生理学实验（通常是测定光合速率的“叶片浮力法”）的典型题目。

**思考过程：**

1.  **实验原理**：在该实验中，叶片盘状物通常漂浮在水面上，因为叶片内部的细胞间隙中充满了空气，这降低了叶片的整体密度。为了让叶片下沉以进行实验，需要排除这些空气。
2.  **肥皂的作用**：肥皂（表面活性剂）的作用是降低水的表面张力，并改变叶片表面的润湿性。
3.  **蜡质层的影响**：叶片表面通常有一层疏水的蜡质层（角质层），这使得水珠难以附着在叶片上，空气容易包裹在叶片表面或气孔周围，从而产生浮力。
4.  **选项分析**：
    *   A 是错误的：肥皂不能通过气孔结合氧气。
    *   B 是不准确的：肥皂主要是通过改变表面性质使水进入叶组织内部，而非仅仅去除表面气泡。
    *   C 是错误的：肥皂通常呈弱碱性，且 pH 值变化不是其帮助浸没的主要机制。
    *   D 是正确的：肥皂分子的结构包含疏水尾部和亲水头部。当其与叶片接触时，疏水端附着于蜡质表面，亲水端与水接触，这种机制显著降低了水的表面张力，使水能够浸润叶面并进入气孔，迫使空气排出，从而使叶片下沉。

Answer: D",212,356,0.000000
9,college_biology,biology,A,A,True,"为了确定哪种物质不属于结缔组织，我们需要逐一分析各选项：

1.  **A) 凝血酶 (Thrombin)：** 凝血酶是一种丝氨酸蛋白酶，主要存在于血液（血浆）中。它在凝血过程中发挥作用，将纤维蛋白原转化为纤维蛋白。它不是结缔组织的固有成分。
2.  **B) 糖胺聚糖 (Glycosaminoglycans)：** 它是结缔组织细胞外基质（基质）的重要组成部分，负责维持基质的理化性质。
3.  **C) 胶原蛋白 (Collagen)：** 这是结缔组织中最主要的蛋白质成分，构成纤维，提供结构支持。
4.  **D) 成纤维细胞 (Fibroblasts)：** 这是结缔组织中最主要的细胞类型，负责分泌胶原蛋白、弹性蛋白和基质成分。

综上所述，B、C、D 都是结缔组织的典型组成成分，而凝血酶主要存在于血液中，不属于结缔组织的结构成分。

Answer: A",108,236,0.000000
