index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"血红蛋白氨基酸序列相似性越高，通常说明两种生物的进化亲缘关系越近。题目说人血红蛋白与黑猩猩的相似性比与狗更高，因此可推断人和黑猩猩的亲缘关系比人与狗更近。

Answer: B",202,102,0.000000
1,college_biology,biology,A,C,False,"研究脊椎动物胚胎发育的胚胎学家可以合理得出的结论是：不同脊椎动物的早期胚胎具有一些共同特征，说明它们在发育早期有相似性，但并不是“重演”成年阶段。

因此正确答案是：

Answer: C",193,104,0.000000
2,high_school_biology,biology,D,D,True,"以下哪项不是防止种间繁殖的示例：

A、B、C 都属于生殖隔离的例子；D“潜在配偶繁殖季节相似”并不会防止种间繁殖，反而可能增加交配机会。

Answer: D",140,120,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡是由基因调控的程序性细胞死亡，不是“随机发生”的。因此不正确的是 **A**。

Answer: A",175,76,0.000000
4,high_school_biology,biology,B,B,True,"这说明一个基因可能同时带来有利和不利效应；当有利效应更强时，自然选择会保留它，哪怕它也会带来一些适应不良的表型。也就是表型常常是折中的结果。

Answer: B",240,121,0.000000
5,high_school_biology,biology,C,C,True,"根据家系信息，支持的是 **C**。

如果第 II 代的父母 1 和 2 都是 **尿黑酸尿症的携带者**，那么他们每生一个孩子，孩子患病的概率就是 **25%**，这符合**常染色体隐性遗传**的规律。  

Answer: C",156,449,0.000000
6,high_school_biology,biology,C,D,False,"先思考转录与配对关系：

- DNA 序列：5′-C-A-T-3′
- 转录得到的 mRNA 与 DNA 互补，并且 RNA 中用 U 代替 T
- 因此对应的 mRNA 密码子可写作：5′-A-U-G-3′

tRNA 反密码子与 mRNA 密码子互补配对，所以反密码子是：

- 5′-U-A-C-3′

Answer: D",196,668,0.000000
7,college_biology,biology,C,C,True,"蓝藻与单细胞绿藻的主要不同在于：蓝藻属于原核生物，没有真正的细胞核；而单细胞绿藻属于真核生物，具有细胞核。  

Answer: C",133,98,0.000000
8,high_school_biology,biology,D,D,True,"肥皂能帮助叶片盘状部分浸没，主要是因为它作为表面活性剂，能降低水的表面张力，并让水更容易润湿叶片表面。其疏水部分会附着在蜡质叶面上，而亲水部分与水相互作用，从而帮助水进入并浸没叶片。

Answer: $D",241,115,0.000000
9,college_biology,biology,A,A,True,"结缔组织由细胞和细胞外基质组成，常见成分包括：

- **糖胺聚糖**：属于基质成分  
- **胶原蛋白**：重要的纤维成分  
- **成纤维细胞**：主要的细胞成分  

而**凝血酶**是参与血液凝固的酶，通常不属于结缔组织的组成成分。

Answer: A",124,191,0.000000
10,college_biology,biology,A,A,True,"环节动物和节肢动物的共同特征是它们的身体都具有分节结构。环节动物（如蚯蚓）和节肢动物（如昆虫、甲壳类）都表现出明显的体节分化，因此 A 是正确选项。

Answer: A",139,169,0.000000
11,high_school_biology,biology,D,D,True,"突变频率看起来较低，常见原因是：有些突变是隐性的、不良表型可能无法繁殖、或者突变效应太严重而被自然选择清除。  
而“可预测的突变发生率导致基因库持续变异”并不是“看起来较低”的原因，反而是在描述突变对基因库的持续影响，因此最不可能。

Answer: D",187,204,0.000000
12,college_biology,biology,A,A,True,"真菌的细胞壁主要由**几丁质**加固，这是一种常见于真菌细胞壁的结构多糖。

Answer: A",119,56,0.000000
13,high_school_biology,biology,B,B,True,"非洲肺鱼生活在不流动、体积较小的淡水池中，周围水体有限，排出的含氮废物如果是**氨**，会很快在局部积累并达到有毒浓度；而改成排出**尿素**可以降低毒性，更安全地储存和排出含氮废物。

因此正确答案是 **B**。

Answer: B",235,115,0.000000
14,high_school_biology,biology,A,A,True,"同源蛋白的氨基酸序列会“看不见”许多同义（沉默）突变，而这些突变在核苷酸序列中是可检测的，因此用蛋白序列推断物种亲缘关系通常不如用同源基因的核苷酸序列准确。

Answer: A",155,112,0.000000
15,college_biology,biology,B,B,True,"在两栖动物中，**灰色新月体（gray crescent）**包含建立胚胎背腹轴所必需的决定因素。若第一次卵裂后只有一个卵裂球含有灰色新月体，那么这个卵裂球具有形成完整胚胎所需的关键发育信息；而另一个没有灰色新月体的卵裂球则不能正常形成完整胚胎。

因此，预期结果是：

**带有灰色新月体的卵裂球会形成一个完整但较小的胚胎。**

Answer: B",260,283,0.000000
16,high_school_biology,biology,B,B,True,"不正确的是 B。胰岛素的作用是促进糖原合成、增加糖原储存，而不是减少糖原储存。

Answer: B",142,72,0.000000
17,high_school_biology,biology,C,C,True,"这些结果最简单的解释是：黑色和白色是同一基因的两种等位形式，杂合子表现为灰色，因此属于**不完全显性**。

Answer: C",188,1680,0.000000
18,high_school_biology,biology,A,A,True,"肝细胞和白细胞都属于体细胞，通常含有相同的基因组 DNA；不同细胞类型主要是**表达的基因不同**，而不是 DNA 本身不同。  
B 不对，因为“绝大部分 DNA 会被转录”并不准确；只有一部分基因会被转录。  
C 不对，因为并不是大部分 DNA 都会被翻译，且只有 mRNA 进入细胞质后才翻译。  
D 不对，因为不同体细胞一般不因功能不同而拥有不同的基因，只是表达不同。

Answer: A",199,188,0.000000
19,college_biology,biology,D,D,True,"人体内维持足够血清钙水平的主要激素是**甲状旁腺激素**。它能促进骨钙释放、促进肾脏对钙的重吸收，并间接促进肠道对钙的吸收，从而帮助维持血钙稳定。

Answer: D",132,92,0.000000
20,college_biology,biology,A,A,True,"沿着格架生长的植物主要是受到**触碰刺激**影响，表现为**向触性**。

Answer: A",116,71,0.000000
21,college_biology,biology,C,C,True,"贝氏拟态指的是**无害或有防御能力较弱的生物，模仿有害或具有强防御能力的生物**，从而躲避天敌。

选项中，**飞蛾呈现出与蛰蜂几乎相同的颜色**最符合这一特征，因为飞蛾通过模仿有毒/会蜇人的蜂类来获得保护。

Answer: C",221,165,0.000000
22,high_school_biology,biology,A,A,True,"秋水仙碱会结合微管蛋白，抑制微管形成；而微管在有丝分裂纺锤体的形成中至关重要，因此最受影响的是染色体的排列与分离。

Answer: A",205,69,0.000000
23,college_biology,biology,C,C,True,"陆地生态系统的净初级生产力（NPP）在热带地区更高，主要是因为热带地区通常同时具备**充足的水分**和**温暖的气温**，这两者都能显著促进光合作用和植物生长。

其他选项中：
- A 物种多样性高不一定直接导致NPP更高。
- B 代谢成本较低不是主要解释。
- D 捕食者更多影响食草动物数量，但不是NPP上升的核心原因。

Answer: C",186,152,0.000000
24,high_school_biology,biology,D,D,True,"金枪鱼、鲨鱼和海豚虽然亲缘关系并不近，但它们都生活在需要高效游泳的水环境中。流线型外观能减少水中阻力，因此在各自环境里更容易生存和繁殖，这是自然选择作用的结果。  

Answer: D",166,107,0.000000
25,high_school_biology,biology,D,D,True,"种群“固定”基因座比例越高，说明该种群中可变位点越少，因此：

- **A) 核苷酸变异** 会更低  
- **C) 平均杂合性** 也会更低  

**B) 遗传多倍体** 不属于这种直接对应关系。

所以正确答案是 **D**。

Answer: $D",129,153,0.000000
26,college_biology,biology,D,D,True,"先思考：  
- 高大植株亲本基因型为 **DDWw**，只能产生两种配子：**DW** 和 **Dw**。  
- 矮小白花植株基因型为 **ddww**，只能产生一种配子：**dw**。  

杂交后代：
- **DW × dw → DdWw**，表现为 **高大紫花**
- **Dw × dw → Ddww**，表现为 **高大白花**

因此后代表现型比例为 **1 高大紫花：1 高大白花**。

Answer: D",243,270,0.000000
27,high_school_biology,biology,B,B,True,"黑色是显性、白色是隐性。若两只黑毛豚鼠交配后，后代出现 **3:1** 的表型比例（3/4 黑，1/4 白），这正是 **杂合子 × 杂合子**（**Bb × Bb**）的典型孟德尔比例。

因此父母的基因型最有可能是 **B) Bb × Bb**。

Answer: $B",174,111,0.000000
28,college_biology,biology,C,C,True,"流感病毒进入细胞后，会利用宿主细胞的机制复制其遗传物质并合成病毒蛋白质，因此正确答案是 C。

Answer: C",156,94,0.000000
29,high_school_biology,biology,B,B,True,"化石记录显示马的体积随着时间推移向更大体型这一方向持续变化，这最符合**方向选择**的特征，即某一性状朝一个极端方向逐渐积累。

Answer: B",132,97,0.000000
30,high_school_biology,biology,B,B,True,"这些隔离的雀群因为长期处于不同环境中，逐渐从共同祖先分化出不同特征，这属于**趋异进化**。

Answer: B",173,79,0.000000
