index,dataset,doc_id,seg_id,source_text,reference_english,translated_text,input_tokens,output_tokens,cost
0,newstest2021.zh-en.xml,xinhua-zh-01.120193,1,da lian ： wu xin zeng xin guan fei yan ben di que zhen bing li   xin zeng 24 li wu zheng zhuang gan ran zhe - xin hua wang,"Dalian: no new local confirmed COVID-19 cases, 24 new asymptomatic infected - Xinhuanet","Dalian: 5 new confirmed cases of COVID-19 locally, 24 new asymptomatic infected persons - Xinhua Net",74,35,0.000000
1,wmttest2022.zh-en.xml,en_zh-TW_CLIENT-05_2020-12-20-107_doc05,1,hao hao ， xie xie ， yin can ting shuo yi zhun bei hao,"Okay, thank you, because the restaurant staff said it was ready.","Good, good, thank you. The restaurant said they are already prepared.",49,18,0.000000
2,newstest2017.zh-en.xml,dailymail.co.uk.170822,20,wo men ceng wu shu ci kan dao jing cha deng men 。,The amount of times we've seen the police down here is unbelievable.,Two people once saw policemen and sentries.,43,13,0.000000
3,wmttest2023.zh-en.xml,rfi-chinese.19798,18,gong hui yi jing zhun bei zai xia zhou si ye jiu shi 16 ri zai ci fa qi xing dong ，3 yue 7 ri ， gai ge cao an song jiao can yi yuan tao lun shi ， gong hui ye ji hua zu zhi shi wei xing dong 。,"The unions are already preparing to launch another action next Thursday, the 16th, and are planning to organize demonstrations on March 7, when the draft reform is sent to the Senate for discussion.","The labor union has already prepared to launch activities on Thursday of next week, which is the 16th. On March 7th, when the reform proposal is submitted to the committee for discussion, the labor union also plans to organize a sit-in action.",102,56,0.000000
4,newstest2017.zh-en.xml,ifeng0812.news.49765230_0,25,ping shi jian bu dao nv er ， fu mu zai jia zhong jiang nv er xiao shi hou de hua zuo yi ji li nian de rong yu dou xi xin shou cun zhe 。,"Because they cannot often see their daughter, they put away the paintings of her childhood and honors of consecutive years.","Unable to reach the daughter in time, the parents at home cherished and carefully preserved every word and deed from her childhood as a precious memory of honor.",80,34,0.000000
5,newstest2018.zh-en.xml,cctv_news_1117,223,ling hui de tong shi hai yao qu shi jian 。,"While comprehending, we also need to put it into practice.",Ling Hui's colleagues still need to go to the market.,40,18,0.000000
6,newstest2021.zh-en.xml,xinhua-zh-01.120583,2,xin hua she bei jing 7 yue 26 ri dian （ ji zhe jia qi long ） jun wei zheng zhi gong zuo bu 、 jun wei guo fang dong yuan bu jin ri lian he yin fa tong zhi ， bu shu zhan kai 2020 nian cong pu tong gao deng xue xiao bi ye sheng zhong zhi jie zhao shou shi guan gong zuo 。,"Xinhua News Agency Beijing, July 26th, 2020 (Journalist: Jia Qilong) Recently, the Political Work Department of the Central Military Commission (CMC) and the National Defense Mobilization Department of the CMC jointly announced the launch of direct sergeant recruitment among university graduates in 2020.","Xinhua News Agency, Beijing, July 26 (Reporter Jia Qilong) — The Political Work Department of the Central Military Commission and the Defense Mobilization Department of the Central Military Commission recently jointly issued a notice deploying the launch of work to directly recruit officers from among graduates of regular institutions of higher education in 2020.",139,76,0.000000
7,newstest2019.zh-en.xml,reuters-zh.2004,13,jin guan ji jin ci ji ji hua de bi duan zeng duo ， pi ru chang qi di li lv qin shi jin rong ji gou de huo li ， dan tong zhang di mi que po shi ri ben yang hang wei chi gai ji hua 。,"Although the disadvantages of radical incentive plans were increasing, such as long-term low interest rates eroding the profits of financial institutions, the low inflation forced the Bank of Japan to maintain the plan.","Although the number of restrictions and incentives in recent financial measures has increased, such as long-term geographical interest rate reductions stimulating financial institutions' vitality, the Bank of Japan has been forced to maintain its current plan due to persistent deflation.",88,54,0.000000
8,newstest2020.zh-en.xml,chinanews.com.102503,14,kao lv dao you xian gu zai gong si fa shang yi you jiao cheng shu de li lun tan tao ， jian yi jiang qi zuo wei fang fan ru gu shi di feng xian de chang dao xing gui ding 。,"Considering that the preferred stock has a more mature theoretical basis in the Company Law, it is suggested that it should be taken as an advocacy provision to prevent the risk of land loss.","As the company's legal affairs have theoretical discussions on this issue, it is recommended to establish it as a preventive and guiding regulation for the risk of share dilution.",88,38,0.000000
9,newstest2020.zh-en.xml,chinanews.com.102532,11,zhe tiao dao lu shun ying shi dai chao liu 、 fu he zhong guo guo qing ， shen ke gai bian zhong guo ren min he zhong hua min zu de ming yun ， ye wei shi jie he di qu he ping fa zhan zuo chu zhong da gong xian ， shi yi tiao zou de tong 、 zou de dui 、 zou de hao de qiang guo zhi lu 。,"This road conforms to the trend of the times and to China's national conditions, and thus has profoundly changed the fate of the Chinese people and the Chinese nation and made greater contributions to the peaceful development of the world, and is also a way to make China powerful that is feasible, right, and steady.","This road should conform to the tide of the times and the trend of development, be in line with China's national conditions, profoundly change the destiny of the Chinese people and the Chinese nation, and make major contributions to world and regional peace and development. It is a path to a strong nation that is passable, correct, and good.",138,73,0.000000
