pinyin,characters,num_characters
a,"[""啊"", ""嗄"", ""錒"", ""锕"", ""阿"", ""𠼞"", ""𥥩"", ""𨉚"", ""𱚱""]",9
ai,"[""㕌"", ""㗒"", ""㘷"", ""㝶"", ""㢊"", ""㤅"", ""㱯"", ""㶼"", ""㾢"", ""㿄"", ""䀳"", ""䅬"", ""䑂"", ""䔽"", ""䝽"", ""䠹"", ""䨠"", ""䶣"", ""伌"", ""僾"", ""凒"", ""叆"", ""哀"", ""哎"", ""唉"", ""啀"", ""嗌"", ""嗳"", ""嘊"", ""噯"", ""埃"", ""塧"", ""壒"", ""娭"", ""娾"", ""嫒"", ""嬡"", ""愛"", ""懓"", ""懝"", ""挨"", ""捱"", ""敱"", ""敳"", ""昹"", ""暧"", ""曖"", ""欸"", ""毐"", ""溰"", ""溾"", ""濭"", ""爱"", ""瑷"", ""璦"", ""癌"", ""皑"", ""皚"", ""皧"", ""瞹"", ""矮"", ""砹"", ""硋"", ""碍"", ""礙"", ""艾"", ""蔼"", ""薆"", ""藹"", ""譪"", ""譺"", ""躷"", ""銰"", ""鎄"", ""鑀"", ""锿"", ""閡"", ""隘"", ""霭"", ""靄"", ""靉"", ""餲"", ""馤"", ""騃"", ""鱫"", ""鴱"", ""𠊎"", ""𠳳"", ""𡁍"", ""𡉓"", ""𡟓"", ""𡰽"", ""𡶃"", ""𢟪"", ""𢟰"", ""𢣏"", ""𢣕"", ""𢰇"", ""𣋞"", ""𣜬"", ""𣝅"", ""𣤃"", ""𣩱"", ""𤸖"", ""𤸳"", ""𤻢"", ""𥡽"", ""𥤦"", ""𥴨"", ""𦗍"", ""𦗐"", ""𦥂"", ""𦥈"", ""𦩴"", ""𧏹"", ""𧓁"", ""𧡋"", ""𧪚"", ""𧰿"", ""𧵨"", ""𨶂"", ""𩈋"", ""𩪂"", ""𩫇"", ""𩮖"", ""𪇈"", ""𪕭"", ""𫉁"", ""𫘤""]",129
an,"[""㛺"", ""㜝"", ""㞄"", ""㟁"", ""㫨"", ""㱘"", ""㸩"", ""㽢"", ""䀂"", ""䅁"", ""䅖"", ""䜙"", ""䢿"", ""䬓"", ""䮗"", ""䯥"", ""侒"", ""俺"", ""儑"", ""唵"", ""啽"", ""垵"", ""埯"", ""堓"", ""婩"", ""媕"", ""安"", ""岸"", ""峖"", ""庵"", ""按"", ""揞"", ""晻"", ""暗"", ""案"", ""桉"", ""氨"", ""洝"", ""犴"", ""玵"", ""痷"", ""盦"", ""盫"", ""罯"", ""胺"", ""腤"", ""荌"", ""菴"", ""萻"", ""葊"", ""蓭"", ""誝"", ""諳"", ""谙"", ""豻"", ""貋"", ""銨"", ""錌"", ""铵"", ""闇"", ""隌"", ""雸"", ""鞌"", ""鞍"", ""韽"", ""馣"", ""鮟"", ""鵪"", ""鶕"", ""鹌"", ""黯"", ""鿷"", ""𠉬"", ""𠰑"", ""𠽪"", ""𡎑"", ""𡪁"", ""𡪙"", ""𡯏"", ""𡹼"", ""𡽜"", ""𢰍"", ""𣆛"", ""𣚖"", ""𣣚"", ""𣵱"", ""𣽥"", ""𤃷"", ""𤜁"", ""𤞿"", ""𤟉"", ""𥏮"", ""𥦍"", ""𥳬"", ""𦺽"", ""𧖮"", ""𧩸"", ""𧫥"", ""𧫧"", ""𧮍"", ""𨲊"", ""𩅝"", ""𩈴"", ""𩓤"", ""𩭢"", ""𩹎"", ""𩽾"", ""𪁟"", ""𪘒"", ""𱏋""]",110
ang,"[""㭿"", ""㼜"", ""䀚"", ""䇦"", ""䒢"", ""䩕"", ""䭹"", ""䭺"", ""卬"", ""岇"", ""昂"", ""昻"", ""枊"", ""盎"", ""肮"", ""醠"", ""骯"", ""𠵫"", ""𠹃"", ""𡕉"", ""𡵙"", ""𢓋"", ""𣉗"", ""𣖮"", ""𤭒"", ""𦫫"", ""𩉰"", ""𩑝"", ""𩔘"", ""𩜟""]",30
ao,"[""㑃"", ""㕭"", ""㘬"", ""㘭"", ""㜜"", ""㜩"", ""㟼"", ""㠂"", ""㠗"", ""㤇"", ""㥿"", ""㩠"", ""㿰"", ""䐿"", ""䜒"", ""䥝"", ""䦋"", ""䫜"", ""䫨"", ""䮯"", ""䯠"", ""䴈"", ""䵅"", ""傲"", ""凹"", ""厫"", ""嗷"", ""嗸"", ""坳"", ""垇"", ""墺"", ""奡"", ""奥"", ""奧"", ""媪"", ""媼"", ""嫯"", ""岙"", ""岰"", ""嶅"", ""嶴"", ""廒"", ""慠"", ""懊"", ""扷"", ""抝"", ""拗"", ""摮"", ""擙"", ""敖"", ""柪"", ""梎"", ""滶"", ""澳"", ""熬"", ""爊"", ""獒"", ""獓"", ""璈"", ""磝"", ""翱"", ""翶"", ""翺"", ""聱"", ""芺"", ""蔜"", ""螯"", ""袄"", ""襖"", ""謷"", ""謸"", ""軪"", ""遨"", ""鏊"", ""鏖"", ""镺"", ""隞"", ""隩"", ""驁"", ""骜"", ""鰲"", ""鳌"", ""鷔"", ""鼇"", ""鿫"", ""𡊛"", ""𡏼"", ""𢁱"", ""𢕟"", ""𢧴"", ""𢳆"", ""𣊁"", ""𣷫"", ""𤏶"", ""𤺾"", ""𥂢"", ""𥑑"", ""𥜌"", ""𦪈"", ""𦽀"", ""𧅃"", ""𧨲"", ""𩈏"", ""𩑍"", ""𩑤"", ""𩕀"", ""𩘮"", ""𩟇"", ""𩣻"", ""𩥊"", ""𩮯"", ""𩱏"", ""𩼈"", ""𪁾"", ""𪃨"", ""𪉑"", ""𱍛"", ""𱖎""]",118
ba,"[""㔜"", ""㞎"", ""㭭"", ""㶚"", ""㸭"", ""㺴"", ""㿬"", ""䃻"", ""䆉"", ""䇑"", ""䎬"", ""䎱"", ""䟦"", ""䩗"", ""䩻"", ""䮂"", ""䰾"", ""䳊"", ""䶕"", ""丷"", ""仈"", ""八"", ""叐"", ""叭"", ""吧"", ""哵"", ""坝"", ""坺"", ""垻"", ""墢"", ""壩"", ""夿"", ""妭"", ""岜"", ""峇"", ""巴"", ""巼"", ""弝"", ""扒"", ""把"", ""抜"", ""拔"", ""捌"", ""朳"", ""柭"", ""欛"", ""灞"", ""炦"", ""爸"", ""犮"", ""玐"", ""疤"", ""癹"", ""矲"", ""笆"", ""粑"", ""紦"", ""罢"", ""罷"", ""羓"", ""耙"", ""胈"", ""芭"", ""茇"", ""菝"", ""蚆"", ""覇"", ""詙"", ""豝"", ""跁"", ""跋"", ""軷"", ""釛"", ""釟"", ""鈀"", ""钯"", ""霸"", ""靶"", ""颰"", ""魃"", ""魞"", ""鮊"", ""鲃"", ""鲅"", ""鲌"", ""鼥"", ""鿱"", """", """", ""𠛋"", ""𠵺"", ""𡚭"", ""𢃳"", ""𢇷"", ""𢠭"", ""𢺞"", ""𢻷"", ""𣬶"", ""𣬷"", ""𤜕"", ""𤜱"", ""𤣸"", ""𤤒"", ""𥎱"", ""𥝧"", ""𦓧"", ""𦫙"", ""𦳺"", ""𧎱"", ""𧲧"", ""𧺡"", ""𧺺"", ""𧿏"", ""𨊹"", ""𩃴"", ""𩊤"", ""𩖽"", ""𩙥"", ""𩚥"", ""𩠀"", ""𩡩"", ""𩨜"", ""𩹏"", ""𩽷"", ""𫜨""]",125
bai,"[""㓦"", ""㔥"", ""㗑"", ""㠔"", ""㿟"", ""䒔"", ""䙓"", ""䢙"", ""䪹"", ""䳆"", ""佰"", ""庍"", ""拜"", ""拝"", ""挀"", ""捭"", ""掰"", ""摆"", ""擘"", ""擺"", ""敗"", ""柏"", ""栢"", ""猈"", ""瓸"", ""白"", ""百"", ""稗"", ""竡"", ""粨"", ""粺"", ""絔"", ""薭"", ""襬"", ""贁"", ""败"", ""韛"", ""𠫛"", ""𡏯"", ""𡭢"", ""𢈕"", ""𢛞"", ""𣧙"", ""𣺽"", ""𤁣"", ""𤙅"", ""𤽹"", ""𥬝"", ""𦣺"", ""𦩋"", ""𦳞"", ""𨃅"", ""𩋂"", ""𩎻"", ""𩏞"", ""𪡈"", ""𫖔""]",57
ban,"[""㚘"", ""㪵"", ""䃑"", ""䈲"", ""䉽"", ""䬳"", ""伴"", ""办"", ""半"", ""坂"", ""坢"", ""姅"", ""岅"", ""怑"", ""扮"", ""扳"", ""拌"", ""搬"", ""攽"", ""斑"", ""斒"", ""昄"", ""板"", ""柈"", ""湴"", ""版"", ""班"", ""瓣"", ""瓪"", ""瘢"", ""癍"", ""秚"", ""粄"", ""絆"", ""绊"", ""舨"", ""般"", ""蝂"", ""螁"", ""螌"", ""褩"", ""辦"", ""辬"", ""鈑"", ""鉡"", ""钣"", ""闆"", ""阪"", ""靽"", ""頒"", ""颁"", ""魬"", ""鳻"", ""𠔯"", ""𠚼"", ""𠦒"", ""𠧫"", ""𠯘"", ""𠺚"", ""𡯘"", ""𢲔"", ""𢴬"", ""𣪂"", ""𤡰"", ""𤦦"", ""𤫫"", ""𤳖"", ""𥷁"", ""𥹓"", ""𦎊"", ""𦙹"", ""𦝤"", ""𧇥"", ""𧌿"", ""𧿨"", ""𨐦"", ""𨐱"", ""𨐾"", ""𨭉"", ""𩔮"", ""𩢔"", ""𩿉"", ""𪄕"", ""𪉒"", ""𪒋""]",85
bang,"[""㙃"", ""㨍"", ""㭋"", ""㮄"", ""㿶"", ""䂜"", ""䎧"", ""䖫"", ""䧛"", ""䩷"", ""䰷"", ""傍"", ""垹"", ""塝"", ""帮"", ""幇"", ""幚"", ""幫"", ""捠"", ""搒"", ""梆"", ""棒"", ""棓"", ""榜"", ""浜"", ""牓"", ""玤"", ""磅"", ""稖"", ""綁"", ""縍"", ""绑"", ""膀"", ""艕"", ""蒡"", ""蚌"", ""蜯"", ""謗"", ""谤"", ""邦"", ""邫"", ""鎊"", ""镑"", ""鞤"", ""髈"", ""𠨵"", ""𠬣"", ""𠲑"", ""𠳐"", ""𡽲"", ""𢁏"", ""𢄎"", ""𢜗"", ""𢮏"", ""𢶶"", ""𢸌"", ""𣘙"", ""𣮡"", ""𣮧"", ""𤚰"", ""𤱵"", ""𦰥"", ""𦾭"", ""𨢐"", ""𩍗"", ""𩦠"", ""𩮗"", ""𱮿"", ""𲀃""]",69
bao,"[""㙅"", ""㙸"", ""㫧"", ""㲒"", ""㵡"", ""㻄"", ""㿺"", ""䈏"", ""䎂"", ""䤖"", ""䥤"", ""䨌"", ""䨔"", ""䪨"", ""䭋"", ""䳈"", ""䳰"", ""䴐"", ""佨"", ""保"", ""儤"", ""勹"", ""勽"", ""包"", ""堡"", ""堢"", ""報"", ""媬"", ""嫑"", ""孢"", ""宝"", ""宲"", ""寚"", ""寳"", ""寶"", ""忁"", ""怉"", ""报"", ""抱"", ""暴"", ""曓"", ""枹"", ""煲"", ""爆"", ""珤"", ""窇"", ""笣"", ""緥"", ""胞"", ""苞"", ""菢"", ""葆"", ""蕔"", ""薄"", ""藵"", ""虣"", ""蚫"", ""袌"", ""褒"", ""褓"", ""襃"", ""豹"", ""賲"", ""趵"", ""鉋"", ""鑤"", ""铇"", ""闁"", ""雹"", ""靌"", ""靤"", ""飹"", ""飽"", ""饱"", ""駂"", ""骲"", ""髱"", ""鮑"", ""鲍"", ""鳵"", ""鴇"", ""鸨"", ""齙"", ""龅"", ""𠅬"", ""𠣒"", ""𠣺"", ""𠤏"", ""𠹕"", ""𡂟"", ""𡉩"", ""𡧖"", ""𡶄"", ""𢼌"", ""𣭀"", ""𤔣"", ""𤝧"", ""𤞥"", ""𤿈"", ""𥄹"", ""𥭓"", ""𦡕"", ""𦢊"", ""𧝘"", ""𧭤"", ""𧵢"", ""𨇅"", ""𨚔"", ""𨠖"", ""𨰦"", ""𨰻"", ""𩊅"", ""𩍂"", ""𩛞"", ""𩬽"", ""𩭼"", ""𩾡"", ""𩿓"", ""𪏶"", ""𲍹""]",120
