index,dataset,doc_id,seg_id,source_text,reference_text,translated_text,input_tokens,output_tokens,cost
0,newstest2021.zh-en.xml,xinhua-zh-01.120193,1,da lian ： wu xin zeng xin guan fei yan ben di que zhen bing li   xin zeng 24 li wu zheng zhuang gan ran zhe - xin hua wang,大连：无新增新冠肺炎本地确诊病例 新增24例无症状感染者-新华网,大连：无新增新冠肺炎本地确诊病例 新增24例无症状感染者-新华网,79,39,0.000000
1,wmttest2022.zh-en.xml,en_zh-TW_CLIENT-05_2020-12-20-107_doc05,1,hao hao ， xie xie ， yin can ting shuo yi zhun bei hao,好好，谢谢，因餐厅说已准备好,好好，谢谢，饮餐厅说一准备好,54,23,0.000000
2,newstest2017.zh-en.xml,dailymail.co.uk.170822,20,wo men ceng wu shu ci kan dao jing cha deng men 。,我们曾无数次看到警察登门。,我们曾无数次看到警察等门。,48,18,0.000000
3,wmttest2023.zh-en.xml,rfi-chinese.19798,18,gong hui yi jing zhun bei zai xia zhou si ye jiu shi 16 ri zai ci fa qi xing dong ，3 yue 7 ri ， gai ge cao an song jiao can yi yuan tao lun shi ， gong hui ye ji hua zu zhi shi wei xing dong 。,工会已经准备在下周四也就是16日再次发起行动，3月7日，改革草案送交参议院讨论时，工会也计划组织示威行动。,工会已经准备在下周四晚就是16日再次发起行动，3月7日，该改草案送交参议院讨论时，工会也计划组织示威行动。,107,58,0.000000
4,newstest2017.zh-en.xml,ifeng0812.news.49765230_0,25,ping shi jian bu dao nv er ， fu mu zai jia zhong jiang nv er xiao shi hou de hua zuo yi ji li nian de rong yu dou xi xin shou cun zhe 。,平时见不到女儿，父母在家中将女儿小时候的画作以及历年的荣誉都细心收存着。,平时见不到女儿，父母在家中将女儿小时候的话做一记里念的荣誉都细心收存着。,85,44,0.000000
5,newstest2018.zh-en.xml,cctv_news_1117,223,ling hui de tong shi hai yao qu shi jian 。,领会的同时还要去实践。,灵慧的同事还要去时间。,45,17,0.000000
6,newstest2021.zh-en.xml,xinhua-zh-01.120583,2,xin hua she bei jing 7 yue 26 ri dian （ ji zhe jia qi long ） jun wei zheng zhi gong zuo bu 、 jun wei guo fang dong yuan bu jin ri lian he yin fa tong zhi ， bu shu zhan kai 2020 nian cong pu tong gao deng xue xiao bi ye sheng zhong zhi jie zhao shou shi guan gong zuo 。,新华社北京7月26日电（记者贾启龙）军委政治工作部、军委国防动员部近日联合印发通知，部署展开2020年从普通高等学校毕业生中直接招收士官工作。,新华社北京7月26日电（记者贾启龙）军委政治工作部、军委国防动员部近日联合印发通知，部署战开2020年从普通高等学校毕业生中直接招收士官工作。,144,75,0.000000
7,newstest2019.zh-en.xml,reuters-zh.2004,13,jin guan ji jin ci ji ji hua de bi duan zeng duo ， pi ru chang qi di li lv qin shi jin rong ji gou de huo li ， dan tong zhang di mi que po shi ri ben yang hang wei chi gai ji hua 。,尽管激进刺激计划的弊端增多，譬如长期低利率侵蚀金融机构的获利，但通胀低迷却迫使日本央行维持该计划。,尽管积极此举加快了比端增多，比如长期地理率侵蚀金融机构的活力，但通胀地密却迫使日本央行为持该计划。,93,59,0.000000
8,newstest2020.zh-en.xml,chinanews.com.102503,14,kao lv dao you xian gu zai gong si fa shang yi you jiao cheng shu de li lun tan tao ， jian yi jiang qi zuo wei fang fan ru gu shi di feng xian de chang dao xing gui ding 。,考虑到优先股在公司法上已有较成熟的理论探讨，建议将其作为防范入股失地风险的倡导性规定。,考虑到油气限股在公司法上已有较成熟的理论探讨，建议将其作为防范入股时地风险的长导性规定。,93,51,0.000000
9,newstest2020.zh-en.xml,chinanews.com.102532,11,zhe tiao dao lu shun ying shi dai chao liu 、 fu he zhong guo guo qing ， shen ke gai bian zhong guo ren min he zhong hua min zu de ming yun ， ye wei shi jie he di qu he ping fa zhan zuo chu zhong da gong xian ， shi yi tiao zou de tong 、 zou de dui 、 zou de hao de qiang guo zhi lu 。,这条道路顺应时代潮流、符合中国国情，深刻改变中国人民和中华民族的命运，也为世界和地区和平发展作出重大贡献，是一条走得通、走得对、走得好的强国之路。,这条道路顺应时代潮流、符合中国国情，深刻改变中国人民和中华民族的命运，也为世界和地区和平发展作出重大贡献，是一条走得通、走得对、走得好的强国之路。,143,81,0.000000
