index,dataset,doc_id,seg_id,source_text,reference_english,translated_text,input_tokens,output_tokens,cost
0,newstest2021.zh-en.xml,xinhua-zh-01.120193,1,大连：无新增新冠肺炎本地确诊病例 新增24例无症状感染者-新华网,"Dalian: no new local confirmed COVID-19 cases, 24 new asymptomatic infected - Xinhuanet",Dalian: No new local confirmed cases of COVID-19; 24 new asymptomatic infections - Xinhua Net,41,23,0.000000
1,wmttest2022.zh-en.xml,en_zh-TW_CLIENT-05_2020-12-20-107_doc05,1,好好，谢谢，因餐厅说已准备好,"Okay, thank you, because the restaurant staff said it was ready.","Okay, thanks. The restaurant says they are ready.",26,11,0.000000
2,newstest2017.zh-en.xml,dailymail.co.uk.170822,20,我们曾无数次看到警察登门。,The amount of times we've seen the police down here is unbelievable.,We have seen the police come to the door countless times.,26,12,0.000000
3,wmttest2023.zh-en.xml,rfi-chinese.19798,18,工会已经准备在下周四也就是16日再次发起行动，3月7日，改革草案送交参议院讨论时，工会也计划组织示威行动。,"The unions are already preparing to launch another action next Thursday, the 16th, and are planning to organize demonstrations on March 7, when the draft reform is sent to the Senate for discussion.","The trade union has prepared to launch another action next Thursday, the 16th, and also plans to organize demonstrations on March 7, when the draft reform is submitted to the Senate for discussion.",58,41,0.000000
4,newstest2017.zh-en.xml,ifeng0812.news.49765230_0,25,平时见不到女儿，父母在家中将女儿小时候的画作以及历年的荣誉都细心收存着。,"Because they cannot often see their daughter, they put away the paintings of her childhood and honors of consecutive years.","Unable to see their daughter often, her parents carefully preserve her childhood drawings and the various honors she has received over the years at home.",41,27,0.000000
5,newstest2018.zh-en.xml,cctv_news_1117,223,领会的同时还要去实践。,"While comprehending, we also need to put it into practice.","While you comprehend, you must also put it into practice.",24,12,0.000000
6,newstest2021.zh-en.xml,xinhua-zh-01.120583,2,新华社北京7月26日电（记者贾启龙）军委政治工作部、军委国防动员部近日联合印发通知，部署展开2020年从普通高等学校毕业生中直接招收士官工作。,"Xinhua News Agency Beijing, July 26th, 2020 (Journalist: Jia Qilong) Recently, the Political Work Department of the Central Military Commission (CMC) and the National Defense Mobilization Department of the CMC jointly announced the launch of direct sergeant recruitment among university graduates in 2020.","Xinhua News Agency, Beijing, July 26 (Reporter Jia Qilong) — The Political Work Department of the Central Military Commission and the National Defense Mobilization Department of the Central Military Commission recently jointly issued a circular, deploying the work of directly recruiting non-commissioned officers from regular college graduates in 2020.",69,67,0.000000
7,newstest2019.zh-en.xml,reuters-zh.2004,13,尽管激进刺激计划的弊端增多，譬如长期低利率侵蚀金融机构的获利，但通胀低迷却迫使日本央行维持该计划。,"Although the disadvantages of radical incentive plans were increasing, such as long-term low interest rates eroding the profits of financial institutions, the low inflation forced the Bank of Japan to maintain the plan.","Despite the growing drawbacks of aggressive stimulus programs, such as long-term low interest rates eroding the profitability of financial institutions, sluggish inflation has forced the Bank of Japan to maintain the program.",56,37,0.000000
8,newstest2020.zh-en.xml,chinanews.com.102503,14,考虑到优先股在公司法上已有较成熟的理论探讨，建议将其作为防范入股失地风险的倡导性规定。,"Considering that the preferred stock has a more mature theoretical basis in the Company Law, it is suggested that it should be taken as an advocacy provision to prevent the risk of land loss.","Considering that preferred stock has already been subject to mature theoretical discussion in corporate law, it is suggested that it be included as a recommended provision to guard against the risk of losing land upon equity investment.",46,39,0.000000
9,newstest2020.zh-en.xml,chinanews.com.102532,11,这条道路顺应时代潮流、符合中国国情，深刻改变中国人民和中华民族的命运，也为世界和地区和平发展作出重大贡献，是一条走得通、走得对、走得好的强国之路。,"This road conforms to the trend of the times and to China's national conditions, and thus has profoundly changed the fate of the Chinese people and the Chinese nation and made greater contributions to the peaceful development of the world, and is also a way to make China powerful that is feasible, right, and steady.","This path conforms to the trend of the times and China's national conditions; it has profoundly changed the destiny of the Chinese people and the Chinese nation, made significant contributions to regional and world peace and development, and is a path to national strength that is viable, correct, and effectively implemented.",67,59,0.000000
10,wmttest2023.zh-en.xml,GCC-1,41,"这个选项, 和它的反义选项, 使那样的程序工作在对应的默认值上.",This choice and its inverse constrain the identical default behavior for that program.,"This option, and its opposite, cause such programs to operate on the corresponding defaults.",37,17,0.000000
11,wmttest2023.zh-en.xml,chinanews.com.280870,1,费用省一半甚至更多？,Spare at slightest half the cost?,Save half or even more on costs?,23,8,0.000000
12,newstest2018.zh-en.xml,washpost.116881,16,霍根并不是一个反动的急躁分子。,Hogan is not a reactionary hothead.,Hogan is not a reactionary hothead.,27,9,0.000000
13,newstest2019.zh-en.xml,chinanews.com.1466,6,他认为，只有将历史铭刻在心中，方能将抗战精神传承下去。,He believes that only by engraving history in the heart can the spirit of the war of resistance be passed down.,He believes that only by keeping history in our hearts can we pass on the spirit of the War of Resistance.,37,22,0.000000
14,wmttest2023.zh-en.xml,chinese.dw.com.9579,28,阿拉斯加大地震（1964年）,The Great Alaskan Earthquake of 1964,1964 Alaska earthquake,28,6,0.000000
15,newstest2021.zh-en.xml,chinanews.com.229486,6,2月28日，以色列本土确诊第一例新冠肺炎病例，以迅速采取了关闭所有出入境口岸，暂停非必要行业，学校改为网上授课，限制公共交通和非必要社交活动，封锁疫情严重城市，军警联合维护防控举措等。,"On February 28, the first case was confirmed in Israel and prompt measures were taken to close all entry and exit points, suspend non-essential industries, and urge all schools to take classes online; moreover, they restricted public transportation and non-essential social activities, sealed off cities with severe outbreaks, and combined military and police efforts to maintain effective control and prevention measures.","On February 28, Israel confirmed its first domestic case of COVID-19. The country quickly took measures including closing all entry and exit ports, suspending non-essential businesses, switching schools to online classes, restricting public transport and non-essential social activities, locking down cities severely affected by the outbreak, and deploying joint military and police forces to maintain epidemic prevention and control measures.",79,77,0.000000
16,newstest2020.zh-en.xml,chinanews.com.102756,1,约8亿人次国庆出游折射中国旅游供需两旺,The approximately 800 million tourist trips during the National Day holiday reflects booming demand and supply in Chinese tourism industry,Approximately 800 million domestic trips during the National Day holiday reflect the robust supply and demand in China's tourism market.,34,26,0.000000
17,wmttest2022.zh-en.xml,social_zh_douban.com_210174796,3,第十八条 公安部消防局是一级注册消防工程师资格的注册审批部门。,Article 18 the Fire Station of the Ministry of Public Security is the registration and approval department for qualification of the registered fire engineers of Class 1.,Article 18: The Fire Department of the Ministry of Public Security is the registration and approval authority for the qualifications of Level 1 Registered Fire Engineers.,36,31,0.000000
18,newstest2019.zh-en.xml,chinanews.com.1800,5,目前，上海地区婴儿死亡率降至3.71 ‰ ， 明显低于全国平均水平，达到发达国家的先进水平。,"Currently, the infant mortality rate in Shanghai has dropped to 3.71‰, which is significantly lower than the national average level and has reached the advanced level of developed countries.","At present, the infant mortality rate in Shanghai has dropped to 3.71‰, which is significantly lower than the national average and has reached the advanced level of developed countries.",45,37,0.000000
19,newstest2020.zh-en.xml,chinanews.com.102805,3,CCF大数据学术会议以加强从事大数据领域国内外学者之间联系与交流，促进多学科交叉融合与大数据产业发展为宗旨，历经7届，已发展成为以科研成果交流为主、国内最有影响的大数据学术会议，会议内容扩展到基础理论、技术应用等领域。,"CCF Big Data seeks to strengthen contact and exchange between domestic and overseas researchers whose focus is the field of big data field and promote multidisciplinary fusion and development in the big data industry, and after seven successive conferences, the event has become the most influential academic conference focused on big data, and mainly promotes the exchange of scientific research achievements, and has also extended its reach to cover fundamental theory, technical applications, and other fields.","The CCF International Conference on Big Data, with the mission of strengthening connections and exchanges among domestic and international scholars in the field of big data and promoting multidisciplinary integration and the development of the big data industry, has developed over seven editions into the most influential big data academic conference in China, primarily focused on the exchange of research achievements, with its scope expanded to include areas such as basic theory and technical applications.",79,82,0.000000
