index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"氨基酸序列越相似，说明两种生物的进化亲缘关系越近。题干中说人和黑猩猩的血红蛋白比人和狗的更相似，因此说明人和灵长类动物的亲缘关系比人与狗更近。四个选项中，最符合这一结论的是 B。

Answer: B",178,2121,0.000000
1,college_biology,biology,A,C,False,"胚胎学家研究脊椎动物从受精卵到胎儿阶段的发育，会发现**早期胚胎之间存在共同的结构特征**，例如早期人类胚胎与鱼类、鸟类胚胎在某些阶段具有相似性。这支持的是“**早期胚胎有共同特征**”，而不是“个体发育重演系统发育”。

- A 错：这是旧的“重演论”，并不成立。
- B 错：早期胚胎不会已经表现出纲、目、种的相同特征。
- D 错：人类胚胎不会在发育中显示成年鱼类和鸟类的特征。

Answer: C",169,328,0.000000
2,high_school_biology,biology,D,D,True,"逐步判断：

- **A 地理隔离**：不同物种若分布区域不同，通常不能相遇繁殖，能防止杂交。
- **B 行为隔离**：求偶行为不同，会导致彼此不识别对方为配偶，能防止杂交。
- **C 求爱仪式不同**：属于行为隔离的一种，也能防止杂交。
- **D 繁殖季节相似**：这并不会阻止繁殖，反而可能增加交配机会。

因此，不是防止种间繁殖的示例的是 **D**。

Answer: D",116,248,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡是**程序性**细胞死亡，特点是由基因调控、按需发生，而不是随机发生。

- **A)** 随机发生：不正确，凋亡不是随机的。
- **B)** 当生物体不再需要某些细胞时，这些细胞可被程序性清除：正确。
- **C)** 细胞积累过多突变时，可能启动凋亡以防止异常增殖：正确。
- **D)** 植物在遭受病原体感染时，可启动程序性细胞死亡作为防御机制：正确。

Answer: A",151,400,0.000000
4,high_school_biology,biology,B,B,True,"这种情况最能说明：一个基因或一组相关基因可能同时带来有利和不利的效应。  
这里，斑纹模式有高度适应性，因此会被选择保留下来；但它与轻微不利的交叉眼相关联，于是交叉眼也会随着斑纹一起增加。  
这说明表型常常是多种效应权衡后的“折中”结果。

Answer: B",216,304,0.000000
5,high_school_biology,biology,C,C,True,"这道题的关键信息是：尿黑酸尿症通常表现为**常染色体隐性遗传**。  
因此，如果第 II 代的父母 1 和 2 已经能生出患病孩子，那么他们大概率都是**携带者**（Aa × Aa）。  
在这种情况下，再生一个孩子时：

- 25% 概率 aa：患病  
- 50% 概率 Aa：携带者  
- 25% 概率 AA：正常

所以，能被家系信息支持的是 **C**。

Answer: C",132,2459,0.000000
6,high_school_biology,biology,C,D,False,"先按碱基互补配对和反向平行来推：

1. DNA 序列 5′-C-A-T-3′ 转录出的 mRNA 密码子为 5′-A-U-G-3′  
   （C↔G，A↔U，T↔A）

2. tRNA 的反密码子要与 mRNA 密码子互补配对，因此为  
   3′-U-A-C-5′

3. 按选项给出的 5′→3′ 写法，就是 5′-U-A-C-3′

Answer: D",172,2886,0.000000
7,college_biology,biology,C,C,True,"蓝藻和单细胞绿藻的主要区别在于：**蓝藻属于原核生物，没有细胞核**；而单细胞绿藻是真核生物，有细胞核。  
因此正确答案是 **C**。  

Answer: C",109,184,0.000000
8,high_school_biology,biology,D,D,True,"肥皂是一种表面活性剂，它的疏水部分会与叶片表面的蜡质层/空气界面相互作用，而亲水部分则与水相互作用，从而降低表面张力，帮助水浸入叶片组织，使叶片盘更容易下沉。

Answer: D",217,593,0.000000
9,college_biology,biology,A,A,True,"结缔组织的基本成分包括细胞（如成纤维细胞）和细胞外基质（如胶原蛋白、糖胺聚糖等）。  
**凝血酶**主要参与凝血过程，不属于结缔组织的常见组成成分。

Answer: A",100,203,0.000000
10,college_biology,biology,A,A,True,"环节动物和节肢动物都属于**分节动物**，它们最明显的共同特征是**身体分节**。  

- **A 正确**：两门动物的身体都具有分节结构。  
- **B 错误**：环节动物多为**封闭式循环系统**，而节肢动物通常是**开放式循环系统**。  
- **C 错误**：两门动物的气体交换方式并不都依赖湿润膜扩散。  
- **D 错误**：节肢动物感官较发达，但环节动物不一定同样发达。  

Answer: A",115,271,0.000000
11,high_school_biology,biology,D,D,True,"逐步分析如下：

- **A**：有些突变等位基因是隐性的，可能不表现出来，所以看起来“没那么常见”。
- **B**：某些有不良表型的突变个体可能无法成功繁殖，因此这些突变不容易在群体中积累。
- **C**：某些突变会造成严重表型变化，因而被自然选择从基因库中清除。
- **D**：“可预测的突变发生率导致基因库持续变异”这只是说明突变会不断产生变异，并不是造成“突变频率看起来较低”的原因，反而意味着变异会持续存在。

因此，**最不可能**是 **D**。

Answer: D",163,421,0.000000
12,college_biology,biology,A,A,True,"真菌的细胞壁主要由**几丁质**加固；几丁质是真菌细胞壁的重要结构成分。其他选项分别常见于不同生物或组织：硅常见于某些藻类，木质素主要见于植物细胞壁，胶原纤维是动物结缔组织成分。

Answer: A",95,135,0.000000
13,high_school_biology,biology,B,B,True,"非洲肺鱼生活在流动性差、体积小的淡水池中，氮废物如果以**氨**的形式排出，会很容易在水体中积累，因为氨毒性很强。把氮废物转化为**尿素**后，毒性显著降低，更适合这种环境。

因此，正确说法是：**氨有剧毒，会危及栖息在小水池中的肺鱼。**

Answer: B",211,262,0.000000
14,high_school_biology,biology,A,A,True,"同源蛋白的氨基酸序列只反映了会改变蛋白质的突变，而很多核苷酸层面的变化是**沉默突变**，不会改变氨基酸，因此这些信息在蛋白序列中会丢失。相比之下，直接比较同源基因的核苷酸序列能保留更多进化信息，所以通常更准确。

Answer: A",131,210,0.000000
15,college_biology,biology,B,B,True,"灰色新月体决定了背腹轴的建立，并富含形成胚胎组织者所需的决定因子。将第一次卵裂后的两个卵裂球分离后，**含有灰色新月体的那个卵裂球**仍然有能力自行发育成一个**完整但较小的胚胎**；而不含灰色新月体的那个卵裂球则不能正常形成完整胚胎。

因此，最合适的选项是 **B**。

Answer: B",236,2193,0.000000
16,high_school_biology,biology,B,B,True,"逐项判断：

- A) 甲状腺素能提高基础代谢率，正确。
- B) 胰岛素**促进**糖原合成和储存，不是减少糖原储存，错误。
- C) 加压素（ADH）可促进肾脏对水的重吸收，正确。
- D) 肾上腺素可升高血糖并加快心率，正确。

因此，不正确的是 **B**。

Answer: B",118,228,0.000000
17,high_school_biology,biology,C,C,True,"这组后代最符合 **1:2:1** 的分离比例：  
- 约 7 只黑色  
- 约 17 只灰色  
- 约 8 只白色  

这说明灰色亲本很可能都是 **杂合子**，而黑色和白色分别是两个纯合型；杂合子表现为中间型灰色。  
这种遗传方式最简单的解释是 **黑白颜色性状为不完全显性**，而不是共显性。

Answer: C",164,716,0.000000
