index,subject,subcategory,answer,predicted,correct,raw_output,input_tokens,output_tokens,cost
0,high_school_biology,biology,B,B,True,"从蛋白质序列相似性来看，序列越相似，通常表示进化上的亲缘关系越近。因此，人血红蛋白与黑猩猩血红蛋白更相似，说明人与黑猩猩的亲缘关系比人与狗更近。

Answer: B",242,589,0.000000
1,college_biology,biology,A,C,False,"脊椎动物胚胎学研究表明：**早期胚胎之间有许多共同特征**，尤其是人类早期胚胎与鱼类、鸟类等脊椎动物早期胚胎在某些阶段表现出相似性。  
因此正确结论是 **C**。

Answer: C",225,454,0.000000
2,high_school_biology,biology,D,D,True,"不是防止物种间杂交的隔离机制的，是 **D**；地理隔离、行为隔离、求偶仪式不同都属于隔离机制，而“繁殖及进食相似”并不会阻止交配或受精。

Answer: D",158,463,0.000000
3,high_school_biology,biology,A,A,True,"细胞凋亡是**程序性、受调控**的细胞死亡，不是随机发生的，所以不正确的是 **A**。

Answer: A",207,268,0.000000
4,high_school_biology,biology,B,B,True,"这些观察说明：即使某个性状本身略有不利，只要它与更有利的表型相关联，也可能随着选择一起增加。这更符合“表型常常是这种复杂遗传/性状关联的结果”，而不是“自然选择一定会把不利基因都清除掉”或“进化走向完美”。

Answer: B",317,1940,0.000000
5,high_school_biology,biology,C,C,True,"根据家系图可推断第 II 代的 1 和 2 为携带者，因此他们再生一个孩子时，患该病的概率为 25%。

Answer: C",190,3585,0.000000
6,high_school_biology,biology,C,C,True,"先把 DNA 转录成 mRNA，再由 mRNA 反推 tRNA 反密码子。

DNA：5′-C-A-T-3′  
对应的 mRNA 密码子（互补配对）为：3′-G-U-A-5′  
因此 tRNA 反密码子与之互补，为：5′-C-A-U-3′

Answer: C",230,2679,0.000000
7,college_biology,biology,C,C,True,"蓝藻（蓝细菌）属于原核生物，没有成形的细胞核；而单细胞绿藻属于真核生物，有细胞核。因此它们的主要不同在于是否有细胞核。

Answer: C",136,270,0.000000
8,high_school_biology,biology,D,D,True,"肥皂是表面活性剂，能降低水的表面张力，并让分子一端与叶片表面作用、另一端与水作用，从而帮助水更好地润湿并附着在叶片表面。

Answer: D",307,314,0.000000
9,college_biology,biology,A,A,True,"结缔组织中常见的成分有胶原蛋白、糖胺聚糖和成纤维细胞；“凝血酶”主要参与血液凝固，不属于结缔组织的典型成分。

Answer: A",131,283,0.000000
10,college_biology,biology,A,A,True,"环节动物和节肢动物相似之处在于它们都具有**分节的身体**。

Answer: A",160,198,0.000000
11,high_school_biology,biology,D,D,True,"A、B、C 都可能导致某些突变不易被观察到或在群体中被淘汰；D 只是描述突变率会持续变化，并不能解释为何“看起来”突变频率较低。

Answer: D",247,397,0.000000
12,college_biology,biology,A,A,True,"真菌的细胞壁主要由**几丁质**加固。  
Answer: A",127,295,0.000000
13,high_school_biology,biology,B,D,False,"Fei zhou fei yu pai chu niao su de hao chu, shi zai shui fen bu zu de huan jing xia ke yi bi mian pai chu da liang an huo suo shui; zhe yang ye neng rang yi xie jing zheng zhe nan yi sheng cun. Zai gei chu de xuan xiang zhong, zui jie jin de shi D.

Answer: D",300,1127,0.000000
14,high_school_biology,biology,A,A,True,"同源蛋白的氨基酸序列会丢失许多“同义突变”的信息，因为这些核苷酸变化并不会改变氨基酸；而用核酸序列可以保留这些差异，所以通常更准确。对应选项是 A。

Answer: A",185,411,0.000000
15,college_biology,biology,B,B,True,"灰色新月体包含建立背腹轴所需的重要决定因素。若第一次卵裂后只有一个卵裂球含有灰色新月体，并将两个卵裂球分离，那么**含有灰色新月体的卵裂球**有可能发育成一个**完整的蝌蚪**；不含灰色新月体的卵裂球则不能正常形成完整胚胎。

Answer: B",326,967,0.000000
16,high_school_biology,biology,B,B,True,"B) 胰岛素可减少糖原储存，这一项不正确；胰岛素通常会促进糖原合成与储存。

Answer: B",165,147,0.000000
17,high_school_biology,biology,C,C,True,"这组后代表现型大致符合 **1:2:1**（黑：灰：白 ≈ 7：17：8），最简单的解释是：**黑白两种颜色由一个基因控制，且杂合子表现为灰色**，也就是 **不完全显性**。

如果是**共显性**，通常会同时显现黑和白两种特征，而不是形成“灰色”这种中间型。

Answer: C",237,567,0.000000
18,high_school_biology,biology,A,A,True,"肝细胞和白细胞都属于体细胞，它们通常含有相同的 DNA；不同之处主要在于哪些基因被表达，而不是 DNA 本身不同。  
Answer: A",239,303,0.000000
19,college_biology,biology,D,D,True,"维持血清钙水平主要依靠**甲状旁腺激素**（PTH）调节。

Answer: D",144,253,0.000000
20,college_biology,biology,A,A,True,"沿着支架生长的植物会因为接触支撑物而改变生长方向，这种现象叫“向触性”。

Answer: A",132,555,0.000000
21,college_biology,biology,C,C,True,"这是“拟态”的典型例子：一种蝴蝶在外形和颜色上模仿另一种蝶类，以获得生存优势。

Answer: C",270,1148,0.000000
22,high_school_biology,biology,A,A,True,"秋水仙碱会抑制微管蛋白聚合，最明显受损的是依赖微管纺锤体的有丝分裂过程，尤其是染色体排列和分离。

Answer: A",250,528,0.000000
23,college_biology,biology,C,C,True,"热带地区全年温暖、降水充足，能更持续地进行光合作用，因此净初级生产力更高。

Answer: C",253,142,0.000000
24,high_school_biology,biology,D,D,True,"金枪鱼、鲨鱼和海豚虽然亲缘关系不近，但都生活在水中，受到相似的选择压力，因此独立演化出了有利于快速游泳的流线型体形。这是趋同进化的结果。

Answer: D",212,361,0.000000
25,high_school_biology,biology,D,D,True,"固定基因座比例越高，说明群体中的遗传多样性越低，因此核苷酸变异和平均杂合性都会下降。  

Answer: D",149,493,0.000000
26,college_biology,biology,D,D,True,Answer: D,294,198,0.000000
27,high_school_biology,biology,B,B,True,"黑色为显性，白色为隐性。子代出现 **3/4 黑色、1/4 白色**，这是典型的 **杂合子互交** 比例，即：

- **Bb × Bb**

因此最可能的亲本基因为 **B**。

Answer: B",194,150,0.000000
28,college_biology,biology,C,C,True,"流感病毒进入宿主细胞后，会立即利用自身携带的 RNA 聚合酶开始转录和复制其 RNA，并合成病毒蛋白。四个选项中，最符合的是 C。

Answer: C",188,423,0.000000
29,high_school_biology,biology,B,B,True,"马的体积在地质时间中逐渐增大，表现为某一性状沿一个方向持续变化，这最符合**方向选择**。

Answer: B",158,310,0.000000
30,high_school_biology,biology,B,C,False,"这些隔离的雀群因为所处环境与食物资源不同，往往会同时偏向保留不同极端性状，而中间型被淘汰，所以喙型变异会更大、范围更广。这属于**分裂性选择**。

Answer: C",209,797,0.000000
31,high_school_biology,biology,D,B,False,"这道题里，最直接能从数据推出的是：幼体未能存活到繁殖期的比例下降了，因此“不能存活的数量可能减少”最合理。A 只是可能原因之一，不能由题干直接推出；C 明显不对。

Answer: B",345,1780,0.000000
32,high_school_biology,biology,A,A,True,"光合作用中释放的氧气主要来源于水分子的分解，而不是二氧化碳。  
Answer: A",126,130,0.000000
33,college_biology,biology,A,A,True,"在最大反应速率（Vmax）时，酶已经基本被底物“饱和”，因此几乎所有酶分子都在与底物分子相互作用。  
所以正确选项是 A。

Answer: A",255,298,0.000000
34,high_school_biology,biology,B,B,True,"双链 DNA 中，**嘌呤（A、G）总量 = 嘧啶（C、T）总量**，因此 **嘧啶 : 嘌呤** 的比值保持恒定。

Answer: B",169,434,0.000000
35,college_biology,biology,C,C,True,"在细胞分裂时，有丝分裂纺锤体附着在染色体上的部位是**着丝点**，因此选 **C**。

Answer: C",136,267,0.000000
36,high_school_biology,biology,D,D,True,"可用来区分原核细胞和动物细胞的是**细胞壁**：原核细胞一般有细胞壁，而动物细胞没有。

Answer: D",121,299,0.000000
37,high_school_biology,biology,B,B,True,"B

Answer: B",127,289,0.000000
